日期,股东名称,股东性质,股份类型,持股数(股),占总流通股本持股比例,增减(股),变动比例,code
2017-09-30,中国国际金融股份有限公司,证券公司,A股,19955594,1.96%,7846094,64.79%,000018
2017-09-30,青海合一实业发展有限公司,其它,A股,13357084,1.31%,100,0.00%,000018
2017-09-30,深圳市农产品股份有限公司,其它,A股,79447462,16.99%,不变,--,000019
2017-09-30,深圳市投资控股有限公司,投资公司,A股,66052518,14.12%,不变,--,000019
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,1472625,0.31%,不变,--,000019
2017-09-30,武汉中恒新科技产业集团有限公司,其它,A股,116489894,41.14%,不变,--,000020
2017-09-30,赛格(香港)有限公司,其它,B股,16569560,5.85%,不变,--,000020
2017-09-30,长江证券经纪(香港)有限公司,证券公司,B股,5355249,1.89%,不变,--,000020
2017-09-30,中国电子信息产业集团有限公司,其它,A股,654839851,44.57%,不变,--,000021
2017-09-30,博旭(香港)有限公司,其它,A股,106649381,7.26%,不变,--,000021
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,3993100,0.27%,不变,--,000021
2017-09-30,龙力控股有限公司,其它,A股,2600000,0.18%,不变,--,000021
2017-09-30,中国南山开发(集团)股份有限公司,其它,A股,209687067,32.54%,不变,--,000022
2017-09-30,码来仓储(深圳)有限公司,其它,A股,161190933,25.01%,不变,--,000022
2017-09-30,景锋企业有限公司,其它,B股,55314208,8.58%,不变,--,000022
2017-09-30,招商证券香港有限公司,证券公司,B股,2218562,0.34%,-261011,-10.53%,000022
2017-09-30,宁波华旗同德投资管理合伙企业(有限合伙),投资公司,A股,21000000,15.13%,不变,--,000023
2017-09-30,深圳市投资控股有限公司,投资公司,A股,12368708,8.91%,-1300841,-9.52%,000023
2017-09-30,深圳市东部开发(集团)有限公司,其它,A股,10805839,7.79%,不变,--,000023
2017-09-30,陕西恒通果汁集团股份有限公司,其它,A股,10000000,7.21%,不变,--,000023
2017-09-30,佳兆业捷信物流(深圳)有限公司,其它,A股,4642239,3.35%,2407073,107.69%,000023
2017-09-30,中国国际金融股份有限公司,证券公司,A股,2072200,1.49%,-1637875,-44.15%,000023
2017-09-30,深圳市特发集团有限公司,其它,A股,139925256,63.52%,不变,--,000025
2017-09-30,时富证券有限公司,证券公司,B股,196226,0.09%,新进,--,000025
2017-09-30,中航国际控股股份有限公司,其它,A股,162977327,37.15%,不变,--,000026
2017-09-30,西藏自治区投资有限公司,投资公司,A股,4976551,1.13%,不变,--,000026
2017-09-30,广东筠业投资有限公司,投资公司,A股,3347210,0.76%,新进,--,000026
2017-09-30,深圳市赫利丰原商贸有限公司,其它,A股,3314781,0.76%,651300,24.45%,000026
2017-09-30,深圳市仟叶汇融投资有限公司,投资公司,A股,3076400,0.70%,新进,--,000026
2017-09-30,深圳市国资委,其它,A股,1896000775,47.82%,不变,--,000027
2017-09-30,华能国际,其它,A股,991741659,25.02%,不变,--,000027
2017-09-30,中国证券金融股份有限公司,其它,A股,80862759,2.04%,不变,--,000027
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,35275900,0.89%,不变,--,000027
2017-09-30,广东电力发展股份有限公司,其它,A股,12600000,0.32%,不变,--,000027
2017-09-30,深圳市投资控股有限公司,投资公司,A股,5644563,0.14%,不变,--,000027
2017-09-30,深圳市亿鑫投资有限公司,投资公司,A股,4985421,0.13%,不变,--,000027
2017-09-30,国药控股股份有限公司,其它,A股,184942291,51.00%,不变,--,000028
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,3804400,1.05%,不变,--,000028
2017-09-30,深圳市投资控股有限公司,投资公司,A股,642884262,63.55%,不变,--,000029
2017-09-30,山金金控资本管理有限公司-山金金控稳健一号基金,投资公司,A股,10300000,1.02%,不变,--,000029
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,1165500,0.12%,不变,--,000029
2017-09-30,中国第一汽车集团公司,其它,A股,315710981,24.54%,不变,--,000030
2017-09-30,吉林省天亿投资有限公司,投资公司,A股,201132059,15.64%,不变,--,000030
2017-09-30,宁波华翔电子股份有限公司,其它,A股,180406275,14.02%,不变,--,000030
2017-09-30,吉林省国有资本运营有限责任公司,其它,A股,129535349,10.07%,350000,0.27%,000030
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,25003000,1.94%,不变,--,000030
2017-09-30,中国证券金融股份有限公司,其它,A股,21314532,1.66%,不变,--,000030
2017-09-30,深圳市中久资产管理有限公司,其它,A股,21084984,1.64%,不变,--,000030
2017-09-30,中粮集团有限公司,其它,A股,828265000,45.67%,不变,--,000031
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,65864600,3.63%,不变,--,000031
2017-09-30,香港中央结算有限公司,其它,A股,10665226,0.59%,3479637,48.43%,000031
2017-09-30,中国中电国际信息服务有限公司,其它,A股,117419838,42.02%,不变,--,000032
2017-09-30,深圳市龙岗区城市建设投资集团有限公司,投资公司,A股,11298170,4.04%,不变,--,000032
2017-09-30,民生证券股份有限公司,证券公司,A股,3218740,1.15%,不变,--,000032
2017-09-30,中国人民人寿保险股份有限公司,保险公司,A股,1999923,0.72%,不变,--,000032
2017-09-30,中国希格玛有限公司,其它,A股,80185746,22.40%,不变,--,000034
2017-09-30,深圳市宝安建设投资集团有限公司,投资公司,A股,26261759,7.34%,不变,--,000034
2017-09-30,重庆国投股权投资管理有限公司,投资公司,A股,5094081,1.42%,不变,--,000034
2017-09-30,中国信达资产管理股份有限公司,其它,A股,4417982,1.23%,不变,--,000034
2017-09-30,南通乾创投资有限公司,投资公司,A股,399889313,34.23%,不变,--,000035
2017-09-30,南通坤德投资有限公司,投资公司,A股,75345534,6.45%,不变,--,000035
2017-09-30,上海裕复企业管理咨询有限公司,其它,A股,11610000,0.99%,-2000000,-14.70%,000035
2017-09-30,常州市常信房地产开发有限公司,其它,A股,5120000,0.44%,不变,--,000035
2017-09-30,华联发展集团有限公司,其它,A股,356299301,31.44%,不变,--,000036
2017-09-30,柳州佳力房地产开发有限责任公司,其它,A股,19668800,1.74%,640400,3.37%,000036
2017-09-30,柳州瑞恒机电有限责任公司,其它,A股,7518500,0.66%,-20100,-0.27%,000036
2017-09-30,深圳市荣超投资发展有限公司,投资公司,A股,4367800,0.39%,新进,--,000036
2017-09-30,深圳广聚实业有限公司,其它,A股,73666824,12.22%,不变,--,000037
2017-09-30,深圳市能源集团有限公司,其它,A股,65106130,10.80%,不变,--,000037
2017-09-30,招商证券香港有限公司,证券公司,B股,5416930,0.90%,-195894,-3.49%,000037
2017-09-30,美颐投资置业有限公司,投资公司,B股,4614920,0.77%,新进,--,000037
2017-09-30,上海毓慧实业发展有限公司,其它,A股,7519107,9.53%,2819665,60.00%,000038
2017-09-30,北京科希盟科技集团有限公司,其它,A股,2796763,3.55%,1048786,60.00%,000038
2017-09-30,香港中央结算(代理人)有限公司,其它,"A股,H股",1730060466,58.04%,13647857,0.80%,000039
2017-09-30,中远集装箱工业有限公司,其它,A股,432171843,14.50%,不变,--,000039
2017-09-30,中国证券金融股份有限公司,其它,A股,80414863,2.70%,不变,--,000039
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,37993800,1.27%,不变,--,000039
2017-09-30,东旭集团有限公司,其它,A股,140299605,13.23%,不变,--,000040
2017-09-30,深圳市中洲置地有限公司,其它,A股,138082700,28.30%,不变,--,000042
2017-09-30,南昌联泰投资有限公司,投资公司,A股,55188952,11.31%,不变,--,000042
2017-09-30,深圳市远致投资有限公司,投资公司,A股,48137884,9.86%,不变,--,000042
2017-09-30,深圳市联泰房地产开发有限公司,其它,A股,10743792,2.20%,不变,--,000042
2017-09-30,中国国际金融股份有限公司,证券公司,A股,10712654,2.20%,2600,0.02%,000042
2017-09-30,中航国际控股股份有限公司,其它,A股,149087820,22.36%,不变,--,000043
2017-09-30,中国航空技术深圳有限公司,其它,A股,137505382,20.62%,不变,--,000043
2017-09-30,深圳中航城发展有限公司,其它,A股,47827858,7.17%,不变,--,000043
2017-09-30,西安飞机工业(集团)有限责任公司,其它,A股,7607820,1.14%,不变,--,000043
2017-09-30,香港中央结算有限公司,其它,A股,4971000,0.75%,新进,--,000043
2017-09-30,浙江省新时代科技实业发展公司,其它,A股,3803910,0.57%,不变,--,000043
2017-09-30,深圳市投资控股有限公司,投资公司,A股,234069436,46.22%,不变,--,000045
2017-09-30,深圳市深超科技投资有限公司,投资公司,A股,16129032,3.18%,不变,--,000045
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,958300,0.19%,不变,--,000045
2017-09-30,中国泛海控股集团有限公司,其它,A股,3377683736,66.34%,不变,--,000046
2017-09-30,中国证券金融股份有限公司,其它,A股,155691668,3.06%,184000,0.12%,000046
2017-09-30,泛海能源控股股份有限公司,其它,A股,124000000,2.44%,不变,--,000046
2017-09-30,中国银河证券股份有限公司,证券公司,A股,61550628,1.21%,不变,--,000046
2017-09-30,新华联控股有限公司,其它,A股,61111111,1.20%,不变,--,000046
2017-09-30,林芝锦华投资管理有限公司,投资公司,A股,61111111,1.20%,不变,--,000046
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,51653500,1.01%,新进,--,000046
2017-09-30,京基集团有限公司,其它,A股,123677371,32.09%,不变,--,000048
2017-09-30,深圳市华超投资控股集团有限公司,投资公司,A股,116641816,30.27%,不变,--,000048
2017-09-30,申万宏源西部证券有限公司约定购回专用账户,证券公司,A股,8447859,2.19%,不变,--,000048
2017-09-30,深圳市吴川联合企业家投资有限公司,投资公司,A股,7576100,1.97%,不变,--,000048
2017-09-30,深圳宝达金融服务有限公司,其它,A股,4750000,1.23%,新进,--,000048
2017-09-30,惠州市德赛工业发展有限公司,其它,A股,92827039,45.23%,不变,--,000049
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,7027900,3.42%,不变,--,000049
2017-09-30,中航国际控股股份有限公司,其它,A股,291567326,20.81%,29590540,11.30%,000050
2017-09-30,湖北省科技投资集团有限公司,投资公司,A股,132682883,9.47%,不变,--,000050
2017-09-30,中国航空技术深圳有限公司,其它,A股,81075304,5.79%,新进,--,000050
2017-09-30,中国航空技术国际控股有限公司,其它,A股,77895877,5.56%,新进,--,000050
2017-09-30,武汉光谷新技术产业投资有限公司,投资公司,A股,54535670,3.89%,-3376800,-5.83%,000050
2017-09-30,深圳市通产集团有限公司,其它,A股,48251364,3.44%,不变,--,000050
2017-09-30,成都工业投资集团有限公司,投资公司,A股,28300007,2.02%,不变,--,000050
2017-09-30,深圳市邦林科技发展有限公司,其它,A股,103161409,8.73%,不变,--,000055
2017-09-30,盛久投资有限公司,投资公司,B股,87165339,7.37%,不变,--,000055
2017-09-30,共青城时利和投资管理合伙企业(有限合伙),投资公司,A股,26791488,2.27%,不变,--,000055
2017-09-30,中信证券经纪(香港)有限公司,QFII,B股,24375858,2.06%,新进,--,000055
2017-09-30,申万宏源证券(香港)有限公司,证券公司,B股,19708790,1.67%,-739683,-3.62%,000055
2017-09-30,百利亚太投资有限公司,投资公司,B股,72634060,13.72%,不变,--,000056
2017-09-30,深圳市皇庭投资管理有限公司,投资公司,A股,27850088,5.26%,不变,--,000056
2017-09-30,中国国际金融股份有限公司,证券公司,A股,16333146,3.09%,新进,--,000056
2017-09-30,皇庭国际集团有限公司,其它,B股,12655252,2.39%,不变,--,000056
2017-09-30,深圳市赛格集团有限公司,其它,A股,237359666,30.25%,不变,--,000058
2017-09-30,珠海回声资产管理有限公司-回声1号私募基金,投资公司,A股,3522000,0.45%,新进,--,000058
2017-09-30,中国证券金融股份有限公司,其它,A股,2271900,0.29%,不变,--,000058
2017-09-30,北方华锦化学工业集团有限公司,其它,A股,314949451,22.50%,不变,--,000059
2017-09-30,振华石油控股有限公司,其它,A股,237901639,16.99%,不变,--,000059
2017-09-30,中兵投资管理有限责任公司,投资公司,A股,13100000,0.94%,不变,--,000059
2017-09-30,深圳修能资本管理有限公司,其它,A股,8286768,0.59%,2049979,32.87%,000059
2017-09-30,长江证券股份有限公司,证券公司,A股,7417848,0.53%,1147900,18.31%,000059
2017-09-30,中信证券信安稳利混合型养老金产品-中国建设银行股份有限公司,企业年金,A股,5465992,0.39%,新进,--,000059
2017-09-30,香港中央结算有限公司,其它,A股,5328228,0.38%,新进,--,000059
2017-09-30,广东省广晟资产经营有限公司,其它,A股,654593573,29.61%,不变,--,000060
2017-09-30,深圳市广晟投资发展有限公司,投资公司,A股,93143935,4.21%,-11000273,-10.56%,000060
2017-09-30,中国证券金融股份有限公司,其它,A股,39605761,1.79%,-14595220,-26.93%,000060
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,29450900,1.33%,不变,--,000060
2017-09-30,香港中央结算有限公司,其它,A股,22141759,1.00%,7492968,51.15%,000060
2017-09-30,广东广晟有色金属集团有限公司,其它,A股,20435775,0.92%,不变,--,000060
2017-09-30,深圳市人民政府国有资产监督管理委员会,其它,A股,488038510,28.87%,不变,--,000061
2017-09-30,富德生命人寿保险股份有限公司-分红,其它,A股,215623559,12.76%,不变,--,000061
2017-09-30,深圳市远致投资有限公司,投资公司,A股,88603753,5.24%,不变,--,000061
2017-09-30,广州铁路集团广深铁路实业发展总公司,其它,A股,20183306,1.19%,不变,--,000061
2017-09-30,深圳市人力资源和社会保障局,其它,A股,20183306,1.19%,不变,--,000061
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,18836700,1.11%,不变,--,000061
2017-09-30,深圳华强集团有限公司,其它,A股,500203300,75.00%,不变,--,000062
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,9211000,1.38%,不变,--,000062
2017-09-30,中国证券金融股份有限公司,其它,A股,5028153,0.75%,不变,--,000062
2017-09-30,香港中央结算有限公司,其它,A股,955350,0.14%,-111447,-10.45%,000062
2017-09-30,深圳市中兴新通讯设备有限公司,其它,"A股,H股",1271868333,30.37%,不变,--,000063
2017-09-30,香港中央结算代理人有限公司,其它,H股,754129280,18.01%,111884,0.01%,000063
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,52519600,1.25%,不变,--,000063
2017-09-30,中国证券金融股份有限公司,其它,A股,51638797,1.23%,-44652944,-46.37%,000063
2017-09-30,湖南南天集团有限公司,其它,A股,42260065,1.01%,-396943,-0.93%,000063
2017-09-30,中国北方工业公司,其它,A股,210425954,52.54%,不变,--,000065
2017-09-30,西安北方惠安化学工业有限公司,其它,A股,25610000,6.39%,-301063,-1.16%,000065
2017-09-30,中车长春轨道客车股份有限公司,其它,A股,2359109,0.59%,不变,--,000065
2017-09-30,中国电子信息产业集团有限公司,其它,A股,757479767,30.41%,不变,--,000066
2017-09-30,民生通惠资产-工商银行-民生通惠通汇3号资产管理产品,其它,A股,18850000,0.76%,-3694269,-16.39%,000066
2017-09-30,南方工业资产管理有限责任公司,其它,A股,10208996,0.41%,新进,--,000066
2017-09-30,建投华科投资股份有限公司,投资公司,A股,8229371,0.33%,新进,--,000066
2017-09-30,深圳赛格股份有限公司,其它,A股,191278346,21.33%,不变,--,000068
2017-09-30,深圳市华融泰资产管理有限公司,其它,A股,156103049,17.41%,不变,--,000068
2017-09-30,深圳市赛格集团有限公司,其它,A股,68392697,7.63%,不变,--,000068
2017-09-30,阿布达比投资局,QFII,A股,5815645,0.65%,不变,--,000068
2017-09-30,香港中央结算有限公司,其它,A股,3530874,0.39%,新进,--,000068
