,日期,股东名称,股东性质,股份类型,持股数(股),占总流通股本持股比例,增减(股),变动比例,code
132126,2017-09-30,"高华-汇丰-GOLDMAN,SACHS & CO.LLC",QFII,A股,7317271,1.50%,-4668467,-38.95%,600779
132135,2017-06-30,"高华-汇丰-GOLDMAN,SACHS & CO.",QFII,A股,11985738,2.45%,5299307,79.25%,600779
132148,2017-03-31,"高华-汇丰-GOLDMAN, SACHS & CO.",QFII,A股,6686431,1.37%,-3406143,-33.75%,600779
132156,2016-12-31,"高华-汇丰-GOLDMAN,SACHS & CO.",QFII,A股,10092574,2.07%,-401100,-3.82%,600779
132166,2016-09-30,"高华-汇丰-GOLDMAN, SACHS & CO.",QFII,A股,10493674,2.15%,5459473,108.45%,600779
132323,2017-06-30,兆丰国际证券投资信托股份有限公司-兆丰国际中国A股基金,QFII,A股,8563200,0.31%,新进,--,600782
134036,2017-09-30,皮尔金顿国际控股公司BV,其它,"A股,B股",141958984,15.18%,不变,--,600819
134046,2017-06-30,皮尔金顿国际控股公司BV,其它,"A股,B股",141958984,15.18%,不变,--,600819
134056,2017-03-31,皮尔金顿国际控股公司BV,其它,"A股,B股",141958984,15.18%,不变,--,600819
134066,2016-12-31,皮尔金顿国际控股公司BV,其它,"A股,B股",141958984,16.51%,不变,--,600819
134076,2016-09-30,皮尔金顿国际控股公司BV,其它,"A股,B股",141958984,16.51%,不变,--,600819
138853,2016-12-31,泛亚投资管理有限公司-Cavenham Private Equity,QFII,A股,952000,0.20%,新进,--,600975
139686,2017-03-31,汇丰中华证券投资信托股份有限公司-汇丰中国A股汇聚基金,QFII,A股,1495000,0.31%,新进,--,600995
140320,2017-09-30,法国巴黎银行(QFII),QFII,A股,319017297,3.95%,77851584,32.28%,601009
140330,2017-06-30,法国巴黎银行(QFII),QFII,A股,241165713,4.18%,不变,--,601009
140340,2017-03-31,法国巴黎银行(QFII),QFII,A股,241165713,4.18%,不变,--,601009
140349,2016-12-31,法国巴黎银行(QFII),QFII,A股,241165713,4.18%,不变,--,601009
140615,2017-09-30,安本亚洲资产管理有限公司-安本环球-中国A股基金,QFII,A股,18756094,0.15%,新进,--,601018
141005,2017-09-30,摩根士丹利投资管理公司-摩根士丹利中国A股基金,QFII,A股,8223468,0.46%,新进,--,601098
142912,2017-09-30,贝莱德(新加坡)有限公司-ISHARES安硕富时A50中国指数ETF(交易所),QFII,A股,3447582,0.44%,423442,14.00%,601229
142921,2017-06-30,贝莱德(新加坡)有限公司-ISHARES安硕富时A50中国指数ETF(交易所),QFII,A股,3024140,0.50%,-310600,-9.31%,601229
142922,2017-06-30,南方东英资产管理有限公司-南方富时中国A50ETF,其它,A股,2541508,0.42%,-239000,-8.60%,601229
142930,2017-03-31,贝莱德(新加坡)有限公司-ISHARES安硕富时A50中国指数ETF(交易所),QFII,A股,3334740,0.56%,新进,--,601229
142933,2017-03-31,南方东英资产管理有限公司-南方富时中国A50ETF,其它,A股,2780508,0.46%,新进,--,601229
142989,2017-12-31,桐昆控股-国信证券-17桐昆EB担保及信托财产专户,证券公司,A股,100000000,8.30%,不变,--,601233
142999,2017-09-30,桐昆控股-国信证券-17桐昆EB担保及信托财产专户,证券公司,A股,100000000,8.30%,新进,--,601233
143405,2017-09-30,HKSCC Nominees Limited(香港中央结算(代理人)有限公司),其它,H股,1033883356,33.14%,-32580,0.00%,601336
143435,2016-12-31,HKSCC Nominees Limited(香港中央结算(代理人)有限公司),其它,H股,1033879836,33.14%,100,0.00%,601336
144882,2017-06-30,HKSCC NOMINEES LIMITED(香港中央结算(代理人)有限公司),其它,H股,3082010012,33.77%,117250,0.00%,601633
144902,2016-12-31,HKSCC NOMINEES LIMITED(香港中央结算(代理人)有限公司),其它,H股,3081744262,33.76%,-168000,-0.01%,601633
144912,2016-09-30,HKSCC NOMINEES LIMITED(香港中央结算(代理人)有限公司),其它,H股,3081912262,33.77%,-61080,0.00%,601633
145973,2017-09-30,新华集团-国泰君安-16皖新EB担保及信托财产专户,证券公司,A股,310000000,15.58%,不变,--,601801
145983,2017-06-30,新华集团-国泰君安-16皖新EB担保及信托财产专户,证券公司,A股,310000000,17.03%,不变,--,601801
145992,2017-03-31,新华集团-国泰君安-16皖新EB担保及信托财产专户,证券公司,A股,310000000,17.03%,不变,--,601801
146002,2016-12-31,新华集团-国泰君安-16皖新EB担保及信托财产专户,证券公司,A股,310000000,17.03%,不变,--,601801
146012,2016-09-30,新华集团-国泰君安-16皖新EB担保及信托财产专户,证券公司,A股,310000000,17.03%,不变,--,601801
146173,2017-09-30,中石油集团-中信建投证券-17中油EB担保及信托财产专户,证券公司,A股,2061000000,1.13%,新进,--,601857
146190,2017-06-30,贝莱德(新加坡)有限公司-ISHARES安硕富时A50中国指数ETF(交易所),QFII,A股,13149212,0.01%,新进,--,601857
146610,2017-09-30,安本亚洲资产管理有限公司-安本环球-中国A股基金,QFII,A股,11584950,0.59%,新进,--,601888
146754,2017-09-30,新华都-国信证券-17新华都EB担保及信托财产专户,证券公司,A股,735184681,3.41%,不变,--,601899
146764,2017-06-30,新华都-国信证券-17新华都EB担保及信托财产专户,证券公司,A股,735184681,3.41%,新进,--,601899
147067,2017-09-30,凤凰集团-华泰联合证券-16凤凰EB担保及信托财产专户,证券公司,A股,680000000,26.72%,不变,--,601928
147077,2017-06-30,凤凰集团-华泰联合证券-16凤凰EB担保及信托财产专户,证券公司,A股,680000000,26.72%,新进,--,601928
147786,2017-06-30,FENGLIN INTERNATIONAL LIMITED(丰林国际有限公司),其它,A股,458946000,48.94%,229473000,100.00%,601996
147796,2017-03-31,FENGLIN INTERNATIONAL LIMITED(丰林国际有限公司),其它,A股,229473000,48.94%,不变,--,601996
147806,2016-12-31,FENGLIN INTERNATIONAL LIMITED(丰林国际有限公司),其它,A股,229473000,48.94%,不变,--,601996
147816,2016-09-30,FENGLIN INTERNATIONAL LIMITED(丰林国际有限公司),其它,A股,229473000,48.94%,不变,--,601996
149133,2017-09-30,KB资产运用-KB中国大陆基金,QFII,A股,1360000,1.02%,新进,--,603027
152653,2016-09-30,鼎晖投资咨询新加坡有限公司-鼎晖稳健成长A股基金,QFII,A股,2603559,0.97%,-1200022,-31.55%,603288
155368,2016-12-31,上海善智股权投资基金管理有限公司-善智VI号投资私募基金,投资公司,A股,390500,1.78%,新进,--,603559
155667,2017-06-30,兆丰国际证券投资信托股份有限公司-兆丰国际中国A股基金,QFII,A股,245500,1.40%,新进,--,603579
159511,2017-09-30,鼎晖投资咨询新加坡有限公司-鼎晖稳健成长A股基金,QFII,A股,935251,1.61%,不变,--,603866
159523,2017-06-30,鼎晖投资咨询新加坡有限公司-鼎晖稳健成长A股基金,QFII,A股,935251,1.61%,新进,--,603866
160147,2017-09-30,国际金融-建行-POWER CORPORATION OF CANADA,QFII,A股,7746668,3.46%,2247576,40.87%,603899
160160,2017-06-30,国际金融-建行-POWER CORPORATION OF CANADA,QFII,A股,5499092,2.45%,1578444,40.26%,603899
160171,2017-03-31,国际金融-建行-POWER CORPORATION OF CANADA,QFII,A股,3920648,1.75%,573742,17.14%,603899
160185,2016-12-31,国际金融-建行-POWER CORPORATION OF CANADA,QFII,A股,3346906,1.49%,新进,--,603899
161263,2017-09-30,Insight Power Investments Limited(讯安投资有限公司),投资公司,A股,21169050,14.37%,新进,--,603986
161269,2017-09-30,IPV Capital II HK Limited(IPV资本有限公司),其它,A股,2598566,1.76%,新进,--,603986
162121,2016-09-30,无锡TCL创业投资合伙企业(有限合伙),投资公司,A股,12910860,0.95%,不变,--,900907
162625,2017-09-30,皮尔金顿国际控股公司BV,其它,"A股,B股",141958984,15.18%,不变,--,900918
162635,2017-06-30,皮尔金顿国际控股公司BV,其它,"A股,B股",141958984,15.18%,不变,--,900918
162645,2017-03-31,皮尔金顿国际控股公司BV,其它,"A股,B股",141958984,15.18%,不变,--,900918
162655,2016-12-31,皮尔金顿国际控股公司BV,其它,"A股,B股",141958984,16.51%,不变,--,900918
162665,2016-09-30,皮尔金顿国际控股公司BV,其它,"A股,B股",141958984,16.51%,不变,--,900918
