,日期,股东名称,股东性质,股份类型,持股数(股),占总流通股本持股比例,增减(股),变动比例,code
32832,2016-12-31,新加坡华侨银行有限公司(QFII),QFII,A股,55319365,1.60%,不变,--,002142
32842,2016-09-30,新加坡华侨银行有限公司(QFII),QFII,A股,55319365,1.60%,不变,--,002142
33795,2017-12-31,CIMIC INDUSTRIAL INC.(斯米克工业有限公司),其它,A股,399795802,46.92%,不变,--,002162
33796,2017-12-31,DIGITAL PACIFIC INC.(太平洋数码有限公司),其它,A股,61607356,7.23%,不变,--,002162
33805,2017-09-30,CIMIC INDUSTRIAL INC.(斯米克工业有限公司),其它,A股,399795802,46.92%,37050000,10.21%,002162
33806,2017-09-30,DIGITAL PACIFIC INC.(太平洋数码有限公司),其它,A股,61607356,7.23%,不变,--,002162
33815,2017-06-30,CIMIC INDUSTRIAL INC.(斯米克工业有限公司),其它,A股,362745802,44.50%,不变,--,002162
33816,2017-06-30,DIGITAL PACIFIC INC.(太平洋数码有限公司),其它,A股,61607356,7.56%,不变,--,002162
33825,2017-03-31,CIMIC INDUSTRIAL INC.(斯米克工业有限公司),其它,A股,362745802,44.50%,不变,--,002162
33826,2017-03-31,DIGITAL PACIFIC INC.(太平洋数码有限公司),其它,A股,61607356,7.56%,不变,--,002162
33835,2016-12-31,CIMIC INDUSTRIAL INC.(斯米克工业有限公司),其它,A股,362745802,44.50%,不变,--,002162
33836,2016-12-31,DIGITAL PACIFIC INC.(太平洋数码有限公司),其它,A股,61607356,7.56%,不变,--,002162
34996,2017-09-30,IDG资本管理(香港)有限公司-IDG中国股票基金,QFII,A股,18102824,5.92%,新进,--,002186
38783,2017-12-31,"高华-汇丰-GOLDMAN,SACHS&CO.LLC",QFII,A股,12172713,1.38%,-8457996,-41.00%,002262
38789,2017-09-30,"高华-汇丰-GOLDMAN,SACHS&CO.",QFII,A股,20630709,2.39%,不变,--,002262
38799,2017-06-30,"高华-汇丰-GOLDMAN,SACHS&CO.",QFII,A股,20630709,2.39%,7736516,60.00%,002262
38809,2017-03-31,"高华-汇丰-GOLDMAN,SACHS & CO.",QFII,A股,12894193,2.39%,不变,--,002262
38819,2016-12-31,"高华-汇丰-GOLDMAN,SACHS&CO.",QFII,A股,12894193,2.39%,不变,--,002262
39808,2017-06-30,"高华-汇丰-GOLDMAN,SACHS&CO.",QFII,A股,1451487,0.79%,-1661355,-53.37%,002282
39817,2017-03-31,"高华-汇丰-GOLDMAN,SACHS & CO.",QFII,A股,3112842,1.66%,不变,--,002282
39827,2016-12-31,"高华-汇丰-GOLDMAN,SACHS & CO.",QFII,A股,3112842,1.66%,不变,--,002282
39837,2016-09-30,"高华-汇丰-GOLDMAN, SACHS & CO.",QFII,A股,3112842,1.65%,不变,--,002282
40912,2017-06-30,"高华-汇丰-GOLDMAN,SACHS & CO.",QFII,A股,14127617,1.14%,190964,1.37%,002304
40924,2017-03-31,"高华-汇丰-GOLDMAN, SACHS & CO.",QFII,A股,13936653,1.12%,43975,0.32%,002304
40933,2016-12-31,"高华-汇丰-GOLDMAN,SACHS & CO.",QFII,A股,13892678,1.12%,新进,--,002304
41099,2017-09-30,江西和信融智资产管理有限公司-和信融智PIPE15号私募投资基金,投资公司,A股,16929470,2.03%,不变,--,002308
41109,2017-06-30,江西和信融智资产管理有限公司-和信融智PIPE15号私募投资基金,投资公司,A股,16929470,2.03%,不变,--,002308
41118,2017-03-31,江西和信融智资产管理有限公司-和信融智PIPE15号私募投资基金,投资公司,A股,16929470,2.03%,新进,--,002308
45722,2017-09-30,铭基国际投资公司-MATTHEWS ASIA FUNDS(US),其它,A股,66324441,4.02%,3850875,6.16%,002400
45733,2017-06-30,铭基国际投资公司-MATTHEWS ASIA FUNDS(US),其它,A股,62473566,4.41%,39223912,168.71%,002400
45743,2017-03-31,铭基国际投资公司-MATTHEWS ASIA FUNDS (US),其它,A股,23249654,2.12%,不变,--,002400
45753,2016-12-31,铭基国际投资公司-MATTHEWS ASIA FUNDS(US),其它,A股,23249654,2.12%,1126361,5.09%,002400
45763,2016-09-30,铭基国际投资公司-MATTHEWS ASIA FUNDS(US),其它,A股,22123293,2.02%,新进,--,002400
47679,2017-09-30,SUVA瑞士国家工伤保险机构-自有资金,QFII,A股,7764798,1.35%,-467200,-5.68%,002439
47688,2017-06-30,SUVA瑞士国家工伤保险机构-自有资金,QFII,A股,8231998,1.43%,新进,--,002439
47690,2017-06-30,"高华-汇丰-GOLDMAN,SACHS & CO.",QFII,A股,7627300,1.33%,不变,--,002439
47700,2017-03-31,"高华-汇丰-GOLDMAN, SACHS & CO.",QFII,A股,7627300,1.36%,新进,--,002439
47719,2016-09-30,"高华-汇丰-GOLDMAN,SACHS&CO.",QFII,A股,7451423,1.33%,新进,--,002439
49260,2016-12-31,"高华-汇丰-GOLDMAN, SACHS & CO.",QFII,A股,11810507,0.43%,新进,--,002470
49960,2016-12-31,"高华-汇丰-GOLDMAN, SACHS & CO.",QFII,A股,5039496,1.03%,新进,--,002484
50088,2017-06-30,和君沣盈资产管理有限公司-和君沣盈A股策略投资基金1号,投资公司,A股,7000000,1.30%,不变,--,002487
50098,2017-03-31,和君沣盈资产管理有限公司-和君沣盈A股策略投资基金1号,投资公司,A股,7000000,1.30%,不变,--,002487
50109,2016-12-31,和君沣盈资产管理有限公司-和君沣盈A股策略投资基金1号,投资公司,A股,7000000,1.30%,不变,--,002487
50119,2016-09-30,和君沣盈资产管理有限公司-和君沣盈A股策略投资基金1号,投资公司,A股,7000000,1.30%,不变,--,002487
50818,2016-09-30,新韩法国巴黎资产运用株式会社-新韩法巴中国大陆RQFII证券投资信托(股票)(交易所),QFII,A股,4477600,0.67%,新进,--,002501
53999,2017-03-31,向量多维(北京)资本管理有限公司-向量ETF量化4期,投资公司,A股,1665005,0.78%,新进,--,002566
54000,2017-03-31,向量多维(北京)资本管理有限公司-向量ETF量化5期,投资公司,A股,1527100,0.72%,新进,--,002566
55227,2017-09-30,磐厚蔚然(上海)资产管理有限公司-磐厚蔚然-PHC大宗3号基金,投资公司,A股,11525400,6.55%,不变,--,002591
55237,2017-06-30,磐厚蔚然(上海)资产管理有限公司-磐厚蔚然-PHC大宗3号基金,投资公司,A股,11525400,6.55%,不变,--,002591
55247,2017-03-31,磐厚蔚然(上海)资产管理有限公司-磐厚蔚然-PHC大宗3号基金,投资公司,A股,11525400,6.88%,500000,4.53%,002591
55257,2016-12-31,磐厚蔚然(上海)资产管理有限公司-磐厚蔚然-PHC大宗3号基金,投资公司,A股,11025400,6.58%,新进,--,002591
55384,2017-06-30,BERKSHIRE HATHAWAY ENERGY(原名为MIDAMERICAN ENERGY HOLDINGS COMPANY),其它,H股,225000000,12.49%,不变,--,002594
55404,2016-12-31,BERKSHIRE HATHAWAY ENERGY(原名为MIDAMERICAN ENERGY HOLDINGS COMPANY),其它,H股,225000000,12.75%,不变,--,002594
55532,2017-12-31,敦和资产管理有限公司-敦和八卦田积极A私募基金,投资公司,A股,2277349,0.41%,新进,--,002597
55824,2017-09-30,以岭医药-中信证券-16以岭EB担保及信托财产专户,证券公司,A股,90000000,9.87%,不变,--,002603
55834,2017-06-30,以岭医药-中信证券-16以岭EB担保及信托财产专户,证券公司,A股,90000000,9.96%,不变,--,002603
55844,2017-03-31,以岭医药-中信证券-16以岭EB担保及信托财产专户,证券公司,A股,90000000,9.97%,不变,--,002603
55854,2016-12-31,以岭医药-中信证券-16以岭EB担保及信托财产专户,证券公司,A股,90000000,10.00%,不变,--,002603
55864,2016-09-30,以岭医药-中信证券-16以岭EB担保及信托财产专户,证券公司,A股,90000000,10.02%,不变,--,002603
60004,2017-09-30,磐厚蔚然(上海)资产管理有限公司-磐厚蔚然-PHC大宗1号基金,投资公司,A股,20559000,7.23%,不变,--,002686
60014,2017-06-30,磐厚蔚然(上海)资产管理有限公司-磐厚蔚然-PHC大宗1号基金,投资公司,A股,20559000,7.23%,不变,--,002686
60024,2017-03-31,磐厚蔚然(上海)资产管理有限公司-磐厚蔚然-PHC大宗1号基金,投资公司,A股,20559000,7.29%,不变,--,002686
60034,2016-12-31,磐厚蔚然(上海)资产管理有限公司-磐厚蔚然-PHC大宗1号基金,投资公司,A股,20559000,7.29%,不变,--,002686
60044,2016-09-30,磐厚蔚然(上海)资产管理有限公司-磐厚蔚然-PHC大宗1号基金,投资公司,A股,20559000,7.29%,不变,--,002686
68816,2017-06-30,亿纬控股-国泰君安证券-17亿纬E1担保及信托财产专户,证券公司,A股,79834264,9.74%,39834264,99.59%,300014
68826,2017-03-31,亿纬控股-国泰君安证券-17亿纬E1担保及信托财产专户,证券公司,A股,40000000,9.75%,新进,--,300014
76581,2017-09-30,摩根士丹利投资管理公司-摩根士丹利中国A股基金,QFII,A股,7648407,1.16%,2028500,36.09%,300170
76591,2017-06-30,摩根士丹利投资管理公司-摩根士丹利中国A股基金,QFII,A股,5619907,0.87%,新进,--,300170
78181,2017-09-30,摩根士丹利投资管理公司-摩根士丹利中国A股基金,QFII,A股,4239355,0.94%,新进,--,300203
78927,2017-09-30,劲达企业有限公司(REAL TACT ENTERPRISE LIMITED),其它,A股,26348000,12.18%,不变,--,300218
78928,2017-09-30,香港敏丰贸易有限公司(S.&F. TRADING CO.(H.K.)LIMITED),其它,A股,23316000,10.78%,不变,--,300218
78937,2017-06-30,劲达企业有限公司(REAL TACT ENTERPRISE LIMITED),其它,A股,26348000,12.18%,不变,--,300218
78938,2017-06-30,香港敏丰贸易有限公司(S.&F. TRADING CO. (H.K.)LIMITED),其它,A股,23316000,10.78%,不变,--,300218
78946,2017-03-31,劲达企业有限公司(REAL TACT ENTERPRISE LIMITED),其它,A股,26348000,15.63%,不变,--,300218
78947,2017-03-31,香港敏丰贸易有限公司(S.&F. TRADING CO. (H.K.)LIMITED),其它,A股,23316000,13.83%,不变,--,300218
78956,2016-12-31,劲达企业有限公司(REALTACTENTERPRISELIMITED),其它,A股,26348000,15.63%,-2000000,-7.06%,300218
78957,2016-12-31,香港敏丰贸易有限公司(S.&F.TRADINGCO.(H.K.)LIMITED),其它,A股,23316000,13.83%,-2000000,-7.90%,300218
78965,2016-09-30,劲达企业有限公司(REALTACT ENTERPRISE LIMITED),其它,A股,28348000,16.82%,不变,--,300218
78967,2016-09-30,香港敏丰贸易有限公司(S.&F.TRADING CO.(H.K.)LIMITED),其它,A股,25316000,15.03%,不变,--,300218
80428,2017-09-30,江西和信融智资产管理有限公司-和信融智 PIPE16 号私募投资基金,投资公司,A股,10185000,5.02%,不变,--,300248
80439,2017-06-30,江西和信融智资产管理有限公司-和信融智 PIPE16 号私募投资基金,投资公司,A股,10185000,5.08%,不变,--,300248
80449,2017-03-31,江西和信融智资产管理有限公司-和信融智 PIPE16 号私募投资基金,投资公司,A股,10185000,5.53%,-815000,-7.41%,300248
80458,2016-12-31,江西和信融智资产管理有限公司-和信融智 PIPE16 号私募投资基金,投资公司,A股,11000000,5.98%,新进,--,300248
82204,2017-03-31,向量多维(北京)资本管理有限公司-向量ETF量化3期,投资公司,A股,1524997,0.75%,58792,4.01%,300283
82214,2016-12-31,向量多维(北京)资本管理有限公司-向量ETF量化3期,投资公司,A股,1466205,0.72%,新进,--,300283
88278,2016-09-30,兆丰国际证券投资信托股份有限公司-兆丰国际中国A股基金,QFII,A股,1809083,0.88%,新进,--,300406
89068,2016-12-31,JF资产管理有限公司-JF中国先驱A股基金,QFII,A股,524081,0.74%,-176900,-25.24%,300422
89079,2016-09-30,JF资产管理有限公司-JF中国先驱A股基金,QFII,A股,700981,1.01%,-60600,-7.96%,300422
92682,2017-09-30,大洋中科SPC株式会社,其它,A股,14805441,6.80%,-2101000,-12.43%,300496
92692,2017-06-30,大洋中科SPC株式会社,其它,A股,16906441,7.76%,-899000,-5.05%,300496
92702,2017-03-31,大洋中科SPC株式会社,其它,A股,17805441,8.31%,-1000000,-5.32%,300496
92712,2016-12-31,大洋中科SPC株式会社,其它,A股,18805441,8.78%,新进,--,300496
94957,2017-12-31,富敦基金管理有限公司-富敦绝对回报中国A股基金,其它,A股,397900,1.72%,新进,--,300545
98692,2017-09-30,"高华-汇丰-GOLDMAN,SACHS&CO.LLC",QFII,A股,361454,0.90%,新进,--,300676
99180,2017-09-30,安本亚洲资产管理有限公司-安本环球-中国A股基金,QFII,A股,10024491,1.00%,1847624,22.60%,600007
99191,2017-06-30,安本亚洲资产管理有限公司-安本环球-中国A股基金,QFII,A股,8176867,0.81%,2605274,46.76%,600007
99202,2017-03-31,安本亚洲资产管理有限公司-安本环球-中国A股基金,QFII,A股,5571593,0.55%,-300000,-5.11%,600007
99212,2016-12-31,安本亚洲资产管理有限公司-安本环球-中国A股基金,QFII,A股,5871593,0.58%,1489904,34.00%,600007
99219,2016-09-30,国际金融-建行-POWER CORPORATION OF CANADA,QFII,A股,5930736,0.59%,不变,--,600007
