日期,股东名称,股东性质,股份类型,持股数(股),占总流通股本持股比例,增减(股),变动比例,code
2017-09-30,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,4643648,0.63%,不变,--,900906
2017-09-30,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,4102000,0.56%,不变,--,900906
2017-09-30,Bank of Singapore Limited,金融,B股,3689950,0.50%,不变,--,900906
2017-06-30,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,4643648,0.63%,不变,--,900906
2017-06-30,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,4102000,0.56%,不变,--,900906
2017-06-30,Bank of Singapore Limited,金融,B股,3689950,0.50%,不变,--,900906
2017-03-31,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,4643648,0.63%,不变,--,900906
2017-03-31,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,4102000,0.56%,不变,--,900906
2017-03-31,Bank of Singapore Limited,金融,B股,3689950,0.50%,不变,--,900906
2016-12-31,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,4643648,0.63%,不变,--,900906
2016-12-31,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,4102000,0.56%,402700,10.89%,900906
2016-12-31,Bank of Singapore Limited,金融,B股,3689950,0.50%,不变,--,900906
2016-09-30,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,4643648,0.71%,1866000,67.18%,900906
2016-09-30,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,3699300,0.57%,不变,--,900906
2016-09-30,Bank of Singapore Limited,金融,B股,3689950,0.57%,新进,--,900906
2017-09-30,BOCI SECURITIES LIMITED,证券公司,B股,30993991,2.18%,新进,--,900907
