平安银行,sz000001
万  科Ａ,sz000002
国农科技,sz000004
世纪星源,sz000005
深振业Ａ,sz000006
全新好,sz000007
神州高铁,sz000008
中国宝安,sz000009
美丽生态,sz000010
深物业A,sz000011
南  玻Ａ,sz000012
沙河股份,sz000014
深康佳Ａ,sz000016
深中华A,sz000017
神州长城,sz000018
深深宝Ａ,sz000019
深华发Ａ,sz000020
深科技,sz000021
深赤湾Ａ,sz000022
深天地Ａ,sz000023
特  力Ａ,sz000025
飞亚达Ａ,sz000026
深圳能源,sz000027
国药一致,sz000028
深深房Ａ,sz000029
富奥股份,sz000030
中粮地产,sz000031
深桑达Ａ,sz000032
神州数码,sz000034
中国天楹,sz000035
华联控股,sz000036
深南电A,sz000037
深大通,sz000038
中集集团,sz000039
东旭蓝天,sz000040
中洲控股,sz000042
中航地产,sz000043
深纺织Ａ,sz000045
泛海控股,sz000046
康达尔,sz000048
德赛电池,sz000049
深天马Ａ,sz000050
方大集团,sz000055
皇庭国际,sz000056
深 赛 格,sz000058
华锦股份,sz000059
中金岭南,sz000060
农 产 品,sz000061
深圳华强,sz000062
中兴通讯,sz000063
北方国际,sz000065
中国长城,sz000066
华控赛格,sz000068
华侨城Ａ,sz000069
特发信息,sz000070
海王生物,sz000078
盐 田 港,sz000088
深圳机场,sz000089
天健集团,sz000090
广聚能源,sz000096
中信海直,sz000099
TCL 集团,sz000100
宜华健康,sz000150
中成股份,sz000151
丰原药业,sz000153
川化股份,sz000155
华数传媒,sz000156
中联重科,sz000157
常山北明,sz000158
国际实业,sz000159
申万宏源,sz000166
东方市场,sz000301
美的集团,sz000333
潍柴动力,sz000338
许继电气,sz000400
冀东水泥,sz000401
金 融 街,sz000402
ST生化,sz000403
华意压缩,sz000404
胜利股份,sz000407
藏格控股,sz000408
山东地矿,sz000409
*ST沈机,sz000410
英特集团,sz000411
东旭光电,sz000413
渤海金控,sz000415
民生控股,sz000416
合肥百货,sz000417
小天鹅Ａ,sz000418
通程控股,sz000419
吉林化纤,sz000420
南京公用,sz000421
湖北宜化,sz000422
东阿阿胶,sz000423
徐工机械,sz000425
兴业矿业,sz000426
华天酒店,sz000428
粤高速Ａ,sz000429
张家界,sz000430
晨鸣纸业,sz000488
山东路桥,sz000498
鄂武商Ａ,sz000501
绿景控股,sz000502
海虹控股,sz000503
南华生物,sz000504
珠江控股,sz000505
中润资源,sz000506
珠海港,sz000507
华塑控股,sz000509
金路集团,sz000510
*ST烯碳,sz000511
丽珠集团,sz000513
渝 开 发,sz000514
国际医学,sz000516
荣安地产,sz000517
四环生物,sz000518
中兵红箭,sz000519
长航凤凰,sz000520
美菱电器,sz000521
广州浪奇,sz000523
岭南控股,sz000524
红 太 阳,sz000525
*ST紫学,sz000526
柳    工,sz000528
广弘控股,sz000529
大冷股份,sz000530
穗恒运Ａ,sz000531
华金资本,sz000532
万 家 乐,sz000533
万泽股份,sz000534
华映科技,sz000536
广宇发展,sz000537
云南白药,sz000538
粤电力Ａ,sz000539
中天金融,sz000540
佛山照明,sz000541
皖能电力,sz000543
中原环保,sz000544
金浦钛业,sz000545
金圆股份,sz000546
航天发展,sz000547
湖南投资,sz000548
江铃汽车,sz000550
创元科技,sz000551
靖远煤电,sz000552
沙隆达Ａ,sz000553
泰山石油,sz000554
神州信息,sz000555
西部创业,sz000557
莱茵体育,sz000558
万向钱潮,sz000559
昆百大Ａ,sz000560
烽火电子,sz000561
陕国投Ａ,sz000563
供销大集,sz000564
渝三峡Ａ,sz000565
海南海药,sz000566
海德股份,sz000567
泸州老窖,sz000568
苏常柴Ａ,sz000570
新大洲Ａ,sz000571
海马汽车,sz000572
粤宏远Ａ,sz000573
广东甘化,sz000576
威孚高科,sz000581
北部湾港,sz000582
哈工智能,sz000584
东北电气,sz000585
汇源通信,sz000586
金洲慈航,sz000587
黔轮胎Ａ,sz000589
启迪古汉,sz000590
太阳能,sz000591
平潭发展,sz000592
大通燃气,sz000593
*ST宝实,sz000595
古井贡酒,sz000596
东北制药,sz000597
兴蓉环境,sz000598
青岛双星,sz000599
建投能源,sz000600
韶能股份,sz000601
盛达矿业,sz000603
渤海股份,sz000605
神州易桥,sz000606
华媒控股,sz000607
阳光股份,sz000608
绵石投资,sz000609
西安旅游,sz000610
天首发展,sz000611
焦作万方,sz000612
*ST东海A,sz000613
京汉股份,sz000615
海航投资,sz000616
中油资本,sz000617
海螺型材,sz000619
新华联,sz000620
恒立实业,sz000622
吉林敖东,sz000623
长安汽车,sz000625
远大控股,sz000626
天茂集团,sz000627
高新发展,sz000628
*ST钒钛,sz000629
铜陵有色,sz000630
顺发恒业,sz000631
三木集团,sz000632
合金投资,sz000633
英 力 特,sz000635
风华高科,sz000636
茂化实华,sz000637
万方发展,sz000638
西王食品,sz000639
仁和药业,sz000650
格力电器,sz000651
泰达股份,sz000652
金岭矿业,sz000655
金科股份,sz000656
中钨高新,sz000657
*ST中富,sz000659
长春高新,sz000661
天夏智慧,sz000662
永安林业,sz000663
湖北广电,sz000665
经纬纺机,sz000666
美好置业,sz000667
荣丰控股,sz000668
金鸿控股,sz000669
盈方微,sz000670
阳 光 城,sz000671
上峰水泥,sz000672
当代东方,sz000673
智度股份,sz000676
恒天海龙,sz000677
襄阳轴承,sz000678
大连友谊,sz000679
山推股份,sz000680
视觉中国,sz000681
东方电子,sz000682
远兴能源,sz000683
中山公用,sz000685
东北证券,sz000686
华讯方舟,sz000687
建新矿业,sz000688
宝新能源,sz000690
亚太实业,sz000691
惠天热电,sz000692
*ST华泽,sz000693
滨海能源,sz000695
炼石有色,sz000697
沈阳化工,sz000698
模塑科技,sz000700
厦门信达,sz000701
正虹科技,sz000702
恒逸石化,sz000703
浙江震元,sz000705
双环科技,sz000707
大冶特钢,sz000708
河钢股份,sz000709
贝瑞基因,sz000710
京蓝科技,sz000711
锦龙股份,sz000712
丰乐种业,sz000713
中兴商业,sz000715
黑芝麻,sz000716
韶钢松山,sz000717
苏宁环球,sz000718
中原传媒,sz000719
新能泰山,sz000720
西安饮食,sz000721
湖南发展,sz000722
美锦能源,sz000723
京东方Ａ,sz000725
鲁  泰Ａ,sz000726
华东科技,sz000727
国元证券,sz000728
燕京啤酒,sz000729
四川美丰,sz000731
泰禾集团,sz000732
振华科技,sz000733
罗 牛 山,sz000735
中交地产,sz000736
南风化工,sz000737
航发控制,sz000738
普洛药业,sz000739
国海证券,sz000750
锌业股份,sz000751
西藏发展,sz000752
漳州发展,sz000753
*ST三维,sz000755
新华制药,sz000756
浩物股份,sz000757
中色股份,sz000758
中百集团,sz000759
斯太尔,sz000760
本钢板材,sz000761
西藏矿业,sz000762
通化金马,sz000766
漳泽电力,sz000767
中航飞机,sz000768
广发证券,sz000776
中核科技,sz000777
新兴铸管,sz000778
三毛派神,sz000779
*ST平能,sz000780
美达股份,sz000782
长江证券,sz000783
武汉中商,sz000785
北新建材,sz000786
北大医药,sz000788
万年青,sz000789
泰合健康,sz000790
甘肃电投,sz000791
盐湖股份,sz000792
华闻传媒,sz000793
英洛华,sz000795
凯撒旅游,sz000796
中国武夷,sz000797
中水渔业,sz000798
酒鬼酒,sz000799
一汽轿车,sz000800
四川九洲,sz000801
北京文化,sz000802
*ST金宇,sz000803
银河生物,sz000806
云铝股份,sz000807
*ST新城,sz000809
创维数字,sz000810
冰轮环境,sz000811
陕西金叶,sz000812
德展健康,sz000813
美利云,sz000815
智慧农业,sz000816
方大化工,sz000818
岳阳兴长,sz000819
神雾节能,sz000820
京山轻机,sz000821
山东海化,sz000822
超声电子,sz000823
太钢不锈,sz000825
启迪桑德,sz000826
东莞控股,sz000828
天音控股,sz000829
鲁西化工,sz000830
五矿稀土,sz000831
贵糖股份,sz000833
长城动漫,sz000835
鑫茂科技,sz000836
秦川机床,sz000837
财信发展,sz000838
中信国安,sz000839
承德露露,sz000848
华茂股份,sz000850
高鸿股份,sz000851
石化机械,sz000852
冀东装备,sz000856
五 粮 液,sz000858
国风塑业,sz000859
顺鑫农业,sz000860
海印股份,sz000861
银星能源,sz000862
三湘印象,sz000863
安凯客车,sz000868
张  裕Ａ,sz000869
吉电股份,sz000875
新 希 望,sz000876
天山股份,sz000877
云南铜业,sz000878
潍柴重机,sz000880
中广核技,sz000881
华联股份,sz000882
湖北能源,sz000883
同力水泥,sz000885
海南高速,sz000886
中鼎股份,sz000887
峨眉山Ａ,sz000888
茂业通信,sz000889
法 尔 胜,sz000890
欢瑞世纪,sz000892
东凌国际,sz000893
双汇发展,sz000895
津滨发展,sz000897
鞍钢股份,sz000898
赣能股份,sz000899
现代投资,sz000900
航天科技,sz000901
新洋丰,sz000902
云内动力,sz000903
厦门港务,sz000905
浙商中拓,sz000906
景峰医药,sz000908
数源科技,sz000909
大亚圣象,sz000910
南宁糖业,sz000911
*ST天化,sz000912
钱江摩托,sz000913
山大华特,sz000915
电广传媒,sz000917
嘉凯城,sz000918
金陵药业,sz000919
南方汇通,sz000920
海信科龙,sz000921
*ST佳电,sz000922
河北宣工,sz000923
众合科技,sz000925
福星股份,sz000926
一汽夏利,sz000927
中钢国际,sz000928
兰州黄河,sz000929
中粮生化,sz000930
中 关 村,sz000931
*ST华菱,sz000932
神火股份,sz000933
四川双马,sz000935
华西股份,sz000936
冀中能源,sz000937
紫光股份,sz000938
凯迪生态,sz000939
南天信息,sz000948
新乡化纤,sz000949
*ST建峰,sz000950
中国重汽,sz000951
广济药业,sz000952
*ST河化,sz000953
欣龙控股,sz000955
中通客车,sz000957
东方能源,sz000958
首钢股份,sz000959
锡业股份,sz000960
中南建设,sz000961
东方钽业,sz000962
华东医药,sz000963
天保基建,sz000965
长源电力,sz000966
盈峰环境,sz000967
蓝焰控股,sz000968
安泰科技,sz000969
中科三环,sz000970
高升控股,sz000971
*ST中基,sz000972
佛塑科技,sz000973
银泰资源,sz000975
华铁股份,sz000976
浪潮信息,sz000977
桂林旅游,sz000978
中弘股份,sz000979
众泰汽车,sz000980
银亿股份,sz000981
*ST 中绒,sz000982
西山煤电,sz000983
大庆华科,sz000985
越秀金控,sz000987
华工科技,sz000988
九 芝 堂,sz000989
诚志股份,sz000990
闽东电力,sz000993
皇台酒业,sz000995
中国中期,sz000996
新 大 陆,sz000997
隆平高科,sz000998
华润三九,sz000999
宗申动力,sz001696
豫能控股,sz001896
招商公路,sz001965
招商蛇口,sz001979
深物业B,sz200011
南  玻Ｂ,sz200012
深康佳Ｂ,sz200016
深中华B,sz200017
神州B,sz200018
深深宝Ｂ,sz200019
深华发Ｂ,sz200020
深赤湾Ｂ,sz200022
特  力Ｂ,sz200025
飞亚达Ｂ,sz200026
一致Ｂ,sz200028
深深房Ｂ,sz200029
富奥B,sz200030
深南电B,sz200037
深纺织Ｂ,sz200045
深基地Ｂ,sz200053
建车B,sz200054
方大Ｂ,sz200055
皇庭B,sz200056
深赛格B,sz200058
山  航Ｂ,sz200152
东沣B,sz200160
舜喆B,sz200168
东旭B,sz200413
小天鹅Ｂ,sz200418
粤高速Ｂ,sz200429
*ST宁通B,sz200468
晨  鸣Ｂ,sz200488
珠江B,sz200505
闽灿坤Ｂ,sz200512
皖美菱Ｂ,sz200521
大  冷Ｂ,sz200530
粤电力Ｂ,sz200539
粤照明Ｂ,sz200541
江  铃Ｂ,sz200550
沙隆达Ｂ,sz200553
苏常柴Ｂ,sz200570
苏威孚Ｂ,sz200581
古井贡Ｂ,sz200596
*ST东海B,sz200613
长  安Ｂ,sz200625
瓦轴B,sz200706
京东方Ｂ,sz200725
鲁  泰Ｂ,sz200726
本钢板Ｂ,sz200761
杭汽轮Ｂ,sz200771
张  裕Ｂ,sz200869
粤华包Ｂ,sz200986
中  鲁Ｂ,sz200992
新 和 成,sz002001
鸿达兴业,sz002002
伟星股份,sz002003
华邦健康,sz002004
德豪润达,sz002005
精功科技,sz002006
华兰生物,sz002007
大族激光,sz002008
天奇股份,sz002009
传化智联,sz002010
盾安环境,sz002011
凯恩股份,sz002012
中航机电,sz002013
永新股份,sz002014
霞客环保,sz002015
世荣兆业,sz002016
东信和平,sz002017
华信国际,sz002018
亿帆医药,sz002019
京新药业,sz002020
中捷资源,sz002021
科华生物,sz002022
海特高新,sz002023
苏宁云商,sz002024
航天电器,sz002025
山东威达,sz002026
分众传媒,sz002027
思源电气,sz002028
七 匹 狼,sz002029
达安基因,sz002030
巨轮智能,sz002031
苏 泊 尔,sz002032
丽江旅游,sz002033
旺能环境,sz002034
华帝股份,sz002035
联创电子,sz002036
久联发展,sz002037
双鹭药业,sz002038
黔源电力,sz002039
南 京 港,sz002040
登海种业,sz002041
华孚时尚,sz002042
兔 宝 宝,sz002043
美年健康,sz002044
国光电器,sz002045
轴研科技,sz002046
宝鹰股份,sz002047
宁波华翔,sz002048
紫光国芯,sz002049
三花智控,sz002050
中工国际,sz002051
同洲电子,sz002052
云南能投,sz002053
德美化工,sz002054
得润电子,sz002055
横店东磁,sz002056
中钢天源,sz002057
威 尔 泰,sz002058
云南旅游,sz002059
粤 水 电,sz002060
浙江交科,sz002061
宏润建设,sz002062
远光软件,sz002063
华峰氨纶,sz002064
东华软件,sz002065
瑞泰科技,sz002066
景兴纸业,sz002067
黑猫股份,sz002068
獐子岛,sz002069
*ST众和,sz002070
长城影视,sz002071
凯瑞德,sz002072
软控股份,sz002073
国轩高科,sz002074
沙钢股份,sz002075
雪 莱 特,sz002076
大港股份,sz002077
太阳纸业,sz002078
苏州固锝,sz002079
中材科技,sz002080
