2017-09-30,1857305228.7,1664399040.7,89.61%,376571159.4,20.28%,701906541.77,37.79%,483620961.08,26.04%,23477818.13,1.26%,192906188,10.39%,137380700.71,7.40%,5167090.35,0.28%,15604914.56,0.84%,,--,1373405546.15,1346342482.87,98.03%,27063063.28,1.97%,000023
2017-09-30,1346720215.99,425397494.64,31.59%,128227347.28,9.52%,7425022.26,0.55%,14586110.9,1.08%,8703306,0.65%,921322721.35,68.41%,121973949.05,9.06%,52694644.87,3.91%,2107185.63,0.16%,,--,383226130.39,336754603.31,87.87%,46471527.08,12.13%,000025
2017-12-31,3579789692.9,2427898745.03,67.82%,187152891.32,5.23%,326254624.94,9.11%,1820526676.26,50.86%,24663314.53,0.69%,1151890947.87,32.18%,523699592.65,14.63%,44223280.21,1.24%,109409785.49,3.06%,,--,1111816815.92,1026042462.92,92.29%,85774353,7.71%,000026
2017-09-30,70439323860.28,14730805746.33,20.91%,4550421854.28,6.46%,4512752819.78,6.41%,1840139429.82,2.61%,468704466.65,0.67%,55708518113.95,79.09%,23066017334.29,32.75%,3821892822.7,5.43%,63752729.03,0.09%,,--,44990317749.31,20412230788.59,45.37%,24578086960.72,54.63%,000027
2017-09-30,23155826581.9,19271663262.1,83.23%,3525575302.08,15.23%,9773204908.31,42.21%,4135298239.08,17.86%,407576331.96,1.76%,3884163319.8,16.77%,530984854.51,2.29%,330038784.01,1.43%,217702792.23,0.94%,,--,13548838984.7,13259392999.53,97.86%,289445985.17,2.14%,000028
2017-09-30,3820236889.03,3283738961.1,85.96%,1057942554.74,27.69%,165767740.97,4.34%,1911577458.16,50.04%,13703629.69,0.36%,536497927.93,14.04%,40967984.94,1.07%,4764525,0.12%,600744.52,0.02%,,--,1150510959.27,1043514364.28,90.70%,106996594.99,9.30%,000029
2017-09-30,9745602837.54,4887873224.12,50.15%,1386699484.05,14.23%,1393013814.86,14.29%,586724075.18,6.02%,44032390.58,0.45%,4857729613.42,49.85%,1687702457.04,17.32%,291120396.99,2.99%,62833.09,0.00%,,--,3601522966.46,2740446478.07,76.09%,861076488.39,23.91%,000030
2017-09-30,69057312740.46,58850908435.11,85.22%,10376528251.6,15.03%,264105720.51,0.38%,32525361849.08,47.10%,133186261.54,0.19%,10206404305.35,14.78%,571348051.36,0.83%,53555783.96,0.08%,11823530.28,0.02%,,--,57326373018.63,37011284425.42,64.56%,20315088593.21,35.44%,000031
2017-09-30,2038845058.06,1489406839.84,73.05%,628483371.83,30.83%,231462780.39,11.35%,249069828.14,12.22%,147673543.54,7.24%,549438218.22,26.95%,103752808.76,5.09%,263115034.61,12.91%,8687525.83,0.43%,,--,464937425.86,444897345.6,95.69%,20040080.26,4.31%,000032
2017-09-30,20821696095.23,16203921832.66,77.82%,1631397991.13,7.84%,5738317855.34,27.56%,6087148529.92,29.23%,1213719300.95,5.83%,4617774262.57,22.18%,194399783.21,0.93%,2317987438.95,11.13%,10255879.97,0.05%,,--,17872541438.84,16591111429.51,92.83%,1281430009.33,7.17%,000034
2017-09-30,7437676789.93,1211072425.21,16.28%,478430691.41,6.43%,325261237.55,4.37%,143557618.4,1.93%,39531804.24,0.53%,6226604364.72,83.72%,1065291861.99,14.32%,1707542966.92,22.96%,16281201.37,0.22%,,--,4480667090.39,2493296378.27,55.65%,1987370712.12,44.35%,000035
2017-09-30,8217086103.79,5932626873.99,72.20%,1729180818.33,21.04%,30509220.74,0.37%,3881283796.34,47.23%,7257521.84,0.09%,2284459229.8,27.80%,933309491.84,11.36%,8164548.51,0.10%,35349724.32,0.43%,,--,3429611630.29,2669388975.84,77.83%,760222654.45,22.17%,000036
2017-09-30,3071070966.82,1415706161.69,46.10%,343763552.51,11.19%,303477152.11,9.88%,87169305.27,2.84%,175774024.15,5.72%,1655364805.13,53.90%,1451185900.14,47.25%,49123077.91,1.60%,,--,,--,1056688414.82,959630219.54,90.81%,97058195.28,9.19%,000037
2017-09-30,5692531627.01,2991039616.51,52.54%,1577571746.79,27.71%,605059766.53,10.63%,106858.64,0.00%,65865519.49,1.16%,2701492010.5,47.46%,125675820.27,2.21%,65120026.94,1.14%,790673.19,0.01%,,--,387070202.84,244974830.39,63.29%,142095372.45,36.71%,000038
2017-09-30,135557585000,63470793000,46.82%,7536347000,5.56%,15546184000,11.47%,18689403000,13.79%,2849212000,2.10%,72086792000,53.18%,21443782000,15.82%,4524580000,3.34%,269247000,0.20%,,--,94194981000,58396974000,62.00%,35798007000,38.00%,000039
2017-09-30,24805580495.5,18000016264.87,72.56%,8348655226.28,33.66%,2411591023.89,9.72%,5582799603.83,22.51%,538826155.03,2.17%,6805564230.63,27.44%,2814652119.17,11.35%,136838314.37,0.55%,85769031.35,0.35%,,--,13453078943.29,8898521301.19,66.14%,4554557642.1,33.86%,000040
2017-09-30,41952613194.6,37473067200.45,89.32%,5370569513.38,12.80%,125811084.2,0.30%,28675614309.28,68.35%,1618707309,3.86%,4479545994.15,10.68%,1358321186.94,3.24%,5914401.79,0.01%,149545702.73,0.36%,,--,35659681504.48,22496350978.58,63.09%,13163330525.9,36.91%,000042
2017-09-30,19191078011.1,9881292472.77,51.49%,1761351561.48,9.18%,807214239.04,4.21%,6179024242.43,32.20%,121436276.07,0.63%,9309785538.33,48.51%,625902554.07,3.26%,11261077.26,0.06%,45629129.24,0.24%,,--,14593775501.06,6684168524.27,45.80%,7909606976.79,54.20%,000043
2017-09-30,4090812137.82,2854408032.43,69.78%,738680258.46,18.06%,207416991.29,5.07%,294949012.98,7.21%,45289657.02,1.11%,1236404105.39,30.22%,671313620.02,16.41%,39194766.13,0.96%,1095259.58,0.03%,,--,612075109.05,425385034.39,69.50%,186690074.66,30.50%,000045
2017-09-30,186589468200.85,136531656476.29,73.17%,24216355113.65,12.98%,1221457306.01,0.65%,81791677960.77,43.84%,925641239.79,0.50%,50057811724.56,26.83%,973059038.15,0.52%,100724831.28,0.05%,82531323.96,0.04%,,--,160733453242.55,74584865224.53,46.40%,86148588018.02,53.60%,000046
2017-09-30,2778657675.47,1842486737.44,66.31%,615267242.01,22.14%,63058570.9,2.27%,1103908791.14,39.73%,34301649.42,1.23%,936170938.03,33.69%,400251270.86,14.40%,108854586.6,3.92%,31793031.06,1.14%,,--,2013323407.15,1367588651.49,67.93%,645734755.66,32.07%,000048
