shareholder,value,percent,share_type,share_code
深圳市特发集团有限公司,139925256,47.068,流通A股,000025
GUOTAIJUNANSECURITIES(HONGKONG)LIMITED,1198904,0.403,流通B股,000025
时富证券有限公司,196226,0.066,流通B股,000025
中航国际控股股份有限公司,162977327,37.146,流通A股,000026
西藏自治区投资有限公司,4976551,1.134,流通A股,000026
广东筠业投资有限公司,3347210,0.763,流通A股,000026
深圳市赫利丰原商贸有限公司,3314781,0.756,流通A股,000026
深圳市仟叶汇融投资有限公司,3076400,0.701,流通A股,000026
深圳市人民政府国有资产监督管理委员会,1896000775,47.825,流通A股,000027
华能国际电力股份有限公司,991741659,25.016,流通A股,000027
中国证券金融股份有限公司,80862759,2.040,流通A股,000027
中央汇金资产管理有限责任公司,35275900,0.890,流通A股,000027
广东电力发展股份有限公司,12600000,0.318,流通A股,000027
深圳市投资控股有限公司,5644563,0.142,流通A股,000027
深圳市亿鑫投资有限公司,4985421,0.126,流通A股,000027
国药控股股份有限公司,184942291,43.198,流通A股,000028
GUOTAIJUNANSECURITIES(HONGKONG)LIMITED,4594095,1.073,流通B股,000028
中央汇金资产管理有限责任公司,3804400,0.889,流通A股,000028
深圳市投资控股有限公司,642884262,63.547,流通A股,000029
中央汇金资产管理有限责任公司,1165500,0.115,流通A股,000029
GUOTAIJUNANSECURITIES(HONGKONG)LIMITED,1015683,0.100,流通B股,000029
中国第一汽车集团公司,315710981,24.412,流通A股,000030
吉林省天亿投资有限公司,201132059,15.552,流通A股,000030
宁波华翔电子股份有限公司,180406275,13.950,流通A股,000030
吉林省国有资本运营有限责任公司,129535349,10.016,流通A股,000030
中央汇金资产管理有限责任公司,25003000,1.933,流通A股,000030
中国证券金融股份有限公司,21314532,1.648,流通A股,000030
深圳市中久资产管理有限公司,21084984,1.630,流通A股,000030
中粮集团有限公司,828265000,45.666,流通A股,000031
中央汇金资产管理有限责任公司,65864600,3.631,流通A股,000031
香港中央结算有限公司,10665226,0.588,流通A股,000031
中国中电国际信息服务有限公司,117419838,27.808,流通A股,000032
深圳市龙岗区城市建设投资集团有限公司,11298170,2.676,流通A股,000032
民生证券股份有限公司,3218740,0.762,流通A股,000032
中国希格玛有限公司,80185746,12.259,流通A股,000034
深圳市宝安建设投资集团有限公司,26261759,4.015,流通A股,000034
重庆国投股权投资管理有限公司,5094081,0.779,流通A股,000034
中国信达资产管理股份有限公司,4417982,0.675,流通A股,000034
南通乾创投资有限公司,399889313,29.588,流通A股,000035
南通坤德投资有限公司,75345534,5.575,流通A股,000035
上海裕复企业管理咨询有限公司,11610000,0.859,流通A股,000035
常州市常信房地产开发有限公司,5120000,0.379,流通A股,000035
华联发展集团有限公司,356299301,31.214,流通A股,000036
柳州佳力房地产开发有限责任公司,19668800,1.723,流通A股,000036
柳州瑞恒机电有限责任公司,7518500,0.659,流通A股,000036
深圳市荣超投资发展有限公司,4367800,0.383,流通A股,000036
HONGKONGNAMHOI(INTERNATIONAL)LTD,92123248,15.284,流通B股,000037
深圳广聚实业有限公司,73666824,12.222,流通A股,000037
深圳市能源集团有限公司,65106130,10.801,流通A股,000037
BOCISECURITIESLIMITED,8360627,1.387,流通B股,000037
招商证券香港有限公司,5416930,0.899,流通B股,000037
美颐投资置业有限公司,4614920,0.766,流通B股,000037
GUOTAIJUNANSECURITIES(HONGKONG)LIMITED,3649690,0.605,流通B股,000037
上海毓慧实业发展有限公司,7519107,1.438,流通A股,000038
北京科希盟科技集团有限公司,2796763,0.535,流通A股,000038
UBSAG,509512,0.097,流通A股,000038
香港中央结算(代理人)有限公司,1730060466,58.029,"流通A股,境外可流通股",000039
中远集装箱工业有限公司,432171843,14.496,流通A股,000039
中国证券金融股份有限公司,80414863,2.697,流通A股,000039
中央汇金资产管理有限责任公司,37993800,1.274,流通A股,000039
东旭集团有限公司,140299605,10.492,流通A股,000040
深圳市中洲置地有限公司,138082700,20.770,流通A股,000042
南昌联泰投资有限公司,55188952,8.301,流通A股,000042
深圳市远致投资有限公司,48137884,7.241,流通A股,000042
深圳市联泰房地产开发有限公司,10743792,1.616,流通A股,000042
中国国际金融股份有限公司,10712654,1.611,流通A股,000042
中航国际控股股份有限公司,149087820,22.353,流通A股,000043
中国航空技术深圳有限公司,137505382,20.617,流通A股,000043
深圳中航城发展有限公司,47827858,7.171,流通A股,000043
西安飞机工业(集团)有限责任公司,7607820,1.141,流通A股,000043
香港中央结算有限公司,4971000,0.745,流通A股,000043
浙江省新时代科技实业发展公司,3803910,0.570,流通A股,000043
深圳市投资控股有限公司,234069436,46.211,流通A股,000045
深圳市深超科技投资有限公司,16129032,3.184,流通A股,000045
中央汇金资产管理有限责任公司,958300,0.189,流通A股,000045
中国泛海控股集团有限公司,3377683736,65.003,流通A股,000046
中国证券金融股份有限公司,155691668,2.996,流通A股,000046
泛海能源控股股份有限公司,124000000,2.386,流通A股,000046
中国银河证券股份有限公司,61550628,1.185,流通A股,000046
新华联控股有限公司,61111111,1.176,流通A股,000046
林芝锦华投资管理有限公司,61111111,1.176,流通A股,000046
中央汇金资产管理有限责任公司,51653500,0.994,流通A股,000046
京基集团有限公司,123677371,31.650,流通A股,000048
深圳市华超投资控股集团有限公司,116641816,29.849,流通A股,000048
申万宏源西部证券有限公司约定购回专用账户,8447859,2.162,流通A股,000048
深圳市吴川联合企业家投资有限公司,7576100,1.939,流通A股,000048
深圳宝达金融服务有限公司,4750000,1.216,流通A股,000048
惠州市德赛工业发展有限公司,92827039,45.228,流通A股,000049
中央汇金资产管理有限责任公司,7027900,3.424,流通A股,000049
中航国际控股股份有限公司,291567326,20.810,流通A股,000050
湖北省科技投资集团有限公司,132682883,9.470,流通A股,000050
中国航空技术深圳有限公司,81075304,5.787,流通A股,000050
中国航空技术国际控股有限公司,77895877,5.560,流通A股,000050
武汉光谷新技术产业投资有限公司,54535670,3.892,流通A股,000050
深圳市通产集团有限公司,48251364,3.444,流通A股,000050
成都工业投资集团有限公司,28300007,2.020,流通A股,000050
深圳市邦林科技发展有限公司,103161409,8.716,流通A股,000055
盛久投资有限公司,87165339,7.364,流通B股,000055
GUOTAIJUNANSECURITIES(HONGKONG)LIMITED,48582727,4.105,流通B股,000055
共青城时利和投资管理合伙企业(有限合伙),26791488,2.263,流通A股,000055
中信证券经纪(香港)有限公司,24375858,2.059,流通B股,000055
申万宏源证券(香港)有限公司,19708790,1.665,流通B股,000055
百利亚太投资有限公司,72634060,6.180,流通B股,000056
深圳市皇庭投资管理有限公司,27850088,2.370,流通A股,000056
BOCISECURITIESLIMITED,16990844,1.446,流通B股,000056
中国国际金融股份有限公司,16333146,1.390,流通A股,000056
皇庭国际集团有限公司,12655252,1.077,流通B股,000056
深圳市赛格集团有限公司,237359666,19.209,流通A股,000058
刘国成(B股),6891302,0.558,流通B股,000058
刘国洪(B股),3045839,0.246,流通B股,000058
龚茜华(B股),2940000,0.238,流通B股,000058
中国证券金融股份有限公司,2271900,0.184,流通A股,000058
北方华锦化学工业集团有限公司,314949451,19.691,流通A股,000059
振华石油控股有限公司,237901639,14.874,流通A股,000059
中兵投资管理有限责任公司,13100000,0.819,流通A股,000059
深圳修能资本管理有限公司,8286768,0.518,流通A股,000059
长江证券股份有限公司,7417848,0.464,流通A股,000059
香港中央结算有限公司,5328228,0.333,流通A股,000059
广东省广晟资产经营有限公司,654593573,27.506,流通A股,000060
深圳市广晟投资发展有限公司,93143935,3.914,流通A股,000060
中国证券金融股份有限公司,39605761,1.664,流通A股,000060
中央汇金资产管理有限责任公司,29450900,1.238,流通A股,000060
香港中央结算有限公司,22141759,0.930,流通A股,000060
广东广晟有色金属集团有限公司,20435775,0.859,流通A股,000060
深圳市人民政府国有资产监督管理委员会,488038510,28.760,流通A股,000061
深圳市远致投资有限公司,88603753,5.221,流通A股,000061
深圳市人力资源和社会保障局,20183306,1.189,流通A股,000061
广州铁路集团广深铁路实业发展总公司,20183306,1.189,流通A股,000061
中央汇金资产管理有限责任公司,18836700,1.110,流通A股,000061
