shareholder,value,percent,share_type,share_code
shareholder,value,percent,share_type,share_code
中欧基金-农业银行-中欧中证金融资产管理计划,63731160,0.371,流通A股,000001
南方基金-农业银行-南方中证金融资产管理计划,63731160,0.371,流通A股,000001
西部利得基金-建设银行-西部利得金裕1号资产管理计划,225494379,2.043,流通A股,000002
中科汇通(深圳)股权投资基金有限公司,9518376,11.335,流通A股,000004
上海泽添资产管理中心(有限合伙)-泽熙投资基金1号私募投资基金,4149516,0.392,流通A股,000005
中国农业银行股份有限公司-易方达瑞惠灵活配置混合型发起式证券投资基金,14598400,1.081,流通A股,000006
中国农业银行股份有限公司-国泰金牛创新成长混合型证券投资基金,6167272,0.457,流通A股,000006
南方基金-建设银行-中国人寿-中国人寿委托南方基金混合型组合,4302904,0.319,流通A股,000006
上海豪石九鼎股权投资基金合伙企业(有限合伙),46676226,1.656,流通A股,000008
平安大华基金-平安银行-平安大华平安金橙财富102号资产管理计划,38822185,1.377,流通A股,000008
BBHA/CVANGUARDEMERGINGMARKETSSTOCKINDEXFUND,15272911,0.640,流通B股,000012
中科汇通(深圳)股权投资基金有限公司,23220055,11.512,流通A股,000014
北京神州牧投资基金管理有限公司-泽泉神州牧六号证券投资基金,1070712,0.531,流通A股,000014
"GAOLINGFUND,L.P.",52801250,2.193,流通B股,000016
中国银行-海富通收益增长证券投资基金,16558178,0.975,流通A股,000018
中国建设银行股份有限公司-融通互联网传媒灵活配置混合型证券投资基金,2794139,0.987,流通A股,000020
中国建设银行股份有限公司-融通领先成长混合型证券投资基金(LOF),1536962,0.543,流通A股,000020
全国社保基金一零五组合,10084111,0.685,流通A股,000021
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,3139564,0.213,流通A股,000021
BBHA/CVANGUARDEMERGINGMARKETSSTOCKINDEXFUND,2617518,0.406,流通B股,000022
VANGUARDTOTALINTERNATIONALSTOCKINDEXFUND,1530596,0.237,流通B股,000022
九泰基金-广发银行-昆仑分级1号资产管理计划,3622565,2.611,流通A股,000023
九泰基金-广发银行-九泰基金-永乐分级2号资产管理计划,3000281,2.162,流通A股,000023
泰达宏利基金-民生银行-泰达宏利价值成长定向增发351号资产管理计划,5043559,1.150,流通A股,000026
金鹰基金-民生银行-金鹰温氏筠业灵活配置3号资产管理计划,4674329,1.065,流通A股,000026
嘉实新机遇灵活配置混合型发起式证券投资基金,10223657,0.258,流通A股,000027
中证500交易型开放式指数证券投资基金,5081942,0.128,流通A股,000027
TARGETVALUEFUND,6086518,1.422,流通B股,000028
招商银行股份有限公司-汇添富医疗服务灵活配置混合型证券投资基金,4630009,1.081,流通A股,000028
VALUEPARTNERSCLASSICFUND,3038918,0.710,流通B股,000028
山金金控资本管理有限公司-山金金控稳健一号基金,10300000,1.018,流通A股,000029
中国农业银行股份有限公司-易方达瑞惠灵活配置混合型发起式证券投资基金,9038200,0.699,流通A股,000030
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划,6078000,0.470,流通A股,000030
全国社保基金一零九组合,6535268,0.360,流通A股,000031
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,4660190,0.257,流通A股,000031
华泰保兴基金-浦发银行-华泰保兴光明1号资产管理计划,4370000,0.241,流通A股,000031
交通银行股份有限公司-长信量化先锋混合型证券投资基金,3522287,0.834,流通A股,000032
全国社保基金一零七组合,2544120,0.603,流通A股,000032
中国银行股份有限公司-富国改革动力混合型证券投资基金,7004700,1.071,流通A股,000034
全国社保基金一一四组合,4178652,0.639,流通A股,000034
民生加银基金-民生银行-民生加银资产管理有限公司,44709530,3.308,流通A股,000035
建信基金-民生银行-民生加银资产管理有限公司,41582494,3.077,流通A股,000035
中国工商银行股份有限公司-申万菱信量化小盘股票型证券投资基金(LOF),3556835,0.312,流通A股,000036
博时基金-农业银行-博时中证金融资产管理计划,9566600,0.321,流通A股,000039
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划,9566600,0.321,流通A股,000039
银华基金-农业银行-银华中证金融资产管理计划,9566600,0.321,流通A股,000039
中欧基金-农业银行-中欧中证金融资产管理计划,9566600,0.321,流通A股,000039
大成基金-农业银行-大成中证金融资产管理计划,9566600,0.321,流通A股,000039
嘉实基金-农业银行-嘉实中证金融资产管理计划,9566600,0.321,流通A股,000039
前海开源基金-浦发银行-国民信托-国民信托·证通7号单一资金信托,68493150,5.122,流通A股,000040
长信基金-浦发银行-聚富10号资产管理计划,66666666,4.986,流通A股,000040
海富通基金-宁波银行-民生信托-中国民生信托·至信167号宝安定增集合资金信托计划,66666666,4.986,流通A股,000040
泰达宏利基金-招商银行-国民信托-国民信托·证通8号单一资金信托计划,66210045,4.951,流通A股,000040
安信基金-浦发银行-陆家嘴国际信托-汇赢3号集合资金信托计划,66210045,4.951,流通A股,000040
方正富邦基金-民生银行-平安信托-平安财富*汇泰187号单一资金信托,60273978,4.508,流通A股,000040
九泰基金-广发银行-九泰基金-昆泰分级6号资产管理计划,9578630,1.441,流通A股,000042
南方基金-建设银行-中国人寿-中国人寿委托南方基金混合型组合,4100042,0.615,流通A股,000043
建信基金-兴业银行-华鑫信托-华鑫信托慧智投资52号结构化集合资金信托计划,61476574,1.183,流通A股,000046
中国银行股份有限公司-长盛电子信息产业混合型证券投资基金,2596685,1.265,流通A股,000049
中国光大银行股份有限公司-国投瑞银创新动力混合型证券投资基金,2088716,1.018,流通A股,000049
全国社保基金四一三组合,1997895,0.973,流通A股,000049
中国银行-华夏回报证券投资基金,1695545,0.826,流通A股,000049
中国工商银行股份有限公司-易方达科翔混合型证券投资基金,1399054,0.682,流通A股,000049
中国银行股份有限公司-上投摩根核心成长股票型证券投资基金,1267169,0.617,流通A股,000049
中国工商银行股份有限公司-国投瑞银稳健增长灵活配置混合型证券投资基金,1191510,0.581,流通A股,000049
中国建设银行股份有限公司-易方达国防军工混合型证券投资基金,1153895,0.562,流通A股,000049
平安大华基金-平安银行-深圳平安大华汇通财富管理有限公司,40001351,2.855,流通A股,000050
全国社保基金一零四组合,12588843,1.071,流通A股,000056
珠海回声资产管理有限公司-回声1号私募基金,3522000,0.285,流通A股,000058
广发基金-广州农商银行-深圳市融通资本管理股份有限公司,2090400,0.169,流通A股,000058
全国社保基金一零八组合,56983492,2.394,流通A股,000060
全国社保基金一零三组合,20000198,0.840,流通A股,000060
全国社保基金四一二组合,13071400,0.549,流通A股,000060
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,914131,0.127,流通A股,000062
全国社保基金一零四组合,46188841,1.102,流通A股,000063
全国社保基金四零一组合,25000076,0.597,流通A股,000063
全国社保基金一一一组合,23716835,0.566,流通A股,000063
全国社保基金一一七组合,19745938,0.471,流通A股,000063
南方基金-建设银行-中国人寿-中国人寿委托南方基金混合型组合,7000350,1.365,流通A股,000065
中国农业银行股份有限公司-浙商聚潮产业成长混合型证券投资基金,5157743,1.005,流通A股,000065
中国农业银行股份有限公司-宝盈转型动力灵活配置混合型证券投资基金,3000000,0.585,流通A股,000065
中国建设银行股份有限公司-宝盈资源优选混合型证券投资基金,1999903,0.390,流通A股,000065
中国农业银行股份有限公司-景顺长城资源垄断混合型证券投资基金(LOF),1663050,0.324,流通A股,000065
中国银行股份有限公司-景顺长城优选混合型证券投资基金,1366660,0.266,流通A股,000065
中国农业银行股份有限公司-新华策略精选股票型证券投资基金,1299855,0.253,流通A股,000065
东方基金-民生银行-民生加银资产管理有限公司,17034571,0.579,流通A股,000066
全国社保基金四一二组合,12360831,0.420,流通A股,000066
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,7585152,0.258,流通A股,000066
全国社保基金一零四组合,138899841,1.693,流通A股,000069
全国社保基金一零三组合,79999519,0.975,流通A股,000069
全国社保基金四零三组合,75608581,0.921,流通A股,000069
全国社保基金一零一组合,64736071,0.789,流通A股,000069
中国银行股份有限公司-华夏新经济灵活配置混合型发起式证券投资基金,63597765,0.775,流通A股,000069
全国社保基金一一零组合,44765566,0.546,流通A股,000069
中国银行股份有限公司-工银瑞信医疗保健行业股票型证券投资基金,30000080,1.134,流通A股,000078
中国农业银行股份有限公司-浙商聚潮产业成长混合型证券投资基金,23752010,0.897,流通A股,000078
北京和合源资产管理有限公司-和合源金投2号私募证券投资基金,14974454,0.566,流通A股,000078
中国民生银行股份有限公司-浙商聚潮新思维混合型证券投资基金,8583087,0.324,流通A股,000078
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,6816775,0.258,流通A股,000078
嘉实基金-农业银行-嘉实中证金融资产管理计划,18589300,0.957,流通A股,000088
银华基金-农业银行-银华中证金融资产管理计划,18423700,0.949,流通A股,000088
博时基金-农业银行-博时中证金融资产管理计划,18415200,0.948,流通A股,000088
南方基金-农业银行-南方中证金融资产管理计划,18348300,0.945,流通A股,000088
易方达基金-农业银行-易方达中证金融资产管理计划,18330600,0.944,流通A股,000088
大成基金-农业银行-大成中证金融资产管理计划,18309300,0.943,流通A股,000088
中欧基金-农业银行-中欧中证金融资产管理计划,18179100,0.936,流通A股,000088
广发基金-农业银行-广发中证金融资产管理计划,18092100,0.932,流通A股,000088
中国银行股份有限公司-易方达中小盘混合型证券投资基金,23000000,1.122,流通A股,000089
中国建设银行股份有限公司-易方达新丝路灵活配置混合型证券投资基金,22600000,1.102,流通A股,000089
安本亚洲资产管理有限公司-安本环球-中国A股基金,14086783,0.687,流通A股,000089
交通银行股份有限公司-易方达科汇灵活配置混合型证券投资基金,13152060,0.641,流通A股,000089
中国银行股份有限公司-华夏新经济灵活配置混合型发起式证券投资基金,9399187,0.785,流通A股,000090
中国工商银行股份有限公司-嘉实新机遇灵活配置混合型发起式证券投资基金,5564873,0.465,流通A股,000090
招商证券股份有限公司-前海开源中航军工指数分级证券投资基金,7046922,1.163,流通A股,000099
中国工商银行股份有限公司-嘉实新机遇灵活配置混合型发起式证券投资基金,4305800,0.710,流通A股,000099
中国银行股份有限公司-招商丰庆灵活配置混合型发起式证券投资基金,92411008,0.757,流通A股,000100
南方基金-农业银行-南方中证金融资产管理计划,74761500,0.612,流通A股,000100
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划,74761500,0.612,流通A股,000100
中欧基金-农业银行-中欧中证金融资产管理计划,74761500,0.612,流通A股,000100
中国建设银行股份有限公司-泰达宏利逆向策略混合型证券投资基金,734772,0.248,流通A股,000151
弘毅投资产业一期基金(天津)(有限合伙),64600000,0.847,流通A股,000157
领航投资澳洲有限公司-领航新兴市场股指基金(交易所),3327153,0.273,流通A股,000301
中国建设银行股份有限公司-博时中证淘金大数据100指数型证券投资基金,3209300,0.263,流通A股,000301
高瓴资本管理有限公司-HCM中国基金,113891138,1.747,流通A股,000333
工银瑞信基金-工商银行-特定客户资产管理,40667530,0.509,流通A股,000338
交通银行股份有限公司-汇丰晋信大盘股票型证券投资基金,33424784,0.418,流通A股,000338
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划,33316400,0.417,流通A股,000338
全国社保基金一一零组合,17193554,1.705,流通A股,000400
全国社保基金一零三组合,12999595,1.289,流通A股,000400
中国银行股份有限公司-华夏新经济灵活配置混合型发起式证券投资基金,10064360,0.998,流通A股,000400
中国银行股份有限公司-长盛转型升级主题灵活配置混合型证券投资基金,8500804,0.843,流通A股,000400
南方基金-农业银行-南方中证金融资产管理计划,6427500,0.637,流通A股,000400
全国社保基金一零二组合,10045500,0.745,流通A股,000401
全国社保基金四一四组合,17999356,0.602,流通A股,000402
中国建设银行股份有限公司-华夏医疗健康混合型发起式证券投资基金,9440000,3.463,流通A股,000403
兴业银行股份有限公司-兴全全球视野股票型证券投资基金,3788817,1.390,流通A股,000403
中国光大银行股份有限公司-兴全商业模式优选混合型证券投资基金(LOF),3778832,1.386,流通A股,000403
招商银行股份有限公司-兴全轻资产投资混合型证券投资基金(LOF),3186116,1.169,流通A股,000403
中国银行股份有限公司-工银瑞信医疗保健行业股票型证券投资基金,3000022,1.101,流通A股,000403
招商银行股份有限公司-兴全合润分级混合型证券投资基金,2421827,0.888,流通A股,000403
中国工商银行股份有限公司-南方稳健成长证券投资基金,6656769,0.956,流通A股,000404
中国工商银行-南方稳健成长贰号证券投资基金,5972947,0.858,流通A股,000404
中国工商银行-南方绩优成长股票型证券投资基金,4565881,0.656,流通A股,000404
全国社保基金六零四组合,3088865,0.149,流通A股,000408
巨能资本管理有限公司-聚赢三号证券投资基金,12082511,2.365,流通A股,000409
东海基金-工商银行-鑫龙177号资产管理计划,11203008,2.193,流通A股,000409
东海基金-工商银行-鑫龙96号资产管理计划,9318101,1.824,流通A股,000409
沈阳森木投资管理有限公司-森木价值发现1号证券投资基金,8314903,1.086,流通A股,000410
中国建设银行股份有限公司-华商盛世成长混合型证券投资基金,6450041,3.109,流通A股,000411
全国社保基金六零四组合,6430100,3.100,流通A股,000411
中信建投基金-华夏银行-西藏信托-西藏信托-顺景5号单一资金信托,173239116,3.507,流通A股,000413
民生加银基金-平安银行-平安信托-平安财富*汇泰163号单一资金信托,91642280,1.855,流通A股,000413
前海股权投资基金(有限合伙),86024545,1.741,流通A股,000413
诺安基金-兴业证券-南京双安资产管理有限公司,71494714,1.447,流通A股,000413
鹏华基金-宁波银行-大业信托-大业信托·东旭光电定增II号单一资金信托,61987758,1.255,流通A股,000413
天津燕山股权投资基金有限公司,309570914,5.006,流通A股,000415
中国农业银行股份有限公司-景顺长城沪深300指数增强型证券投资基金,21717733,0.351,流通A股,000415
中国银行股份有限公司-华泰柏瑞量化增强混合型证券投资基金,17574382,0.284,流通A股,000415
全国社保基金一一零组合,10628369,1.363,流通A股,000417
兴业银行股份有限公司-中邮核心竞争力灵活配置混合型证券投资基金,4250000,0.545,流通A股,000417
"GAOLINGFUND,L.P.",23664125,3.741,流通B股,000418
全国社保基金一零八组合,21097464,3.336,流通A股,000418
GREENWOODSCHINAALPHAMASTERFUND,17787068,2.812,流通B股,000418
全国社保基金一零一组合,13709256,2.168,流通A股,000418
中国工商银行-汇添富成长焦点混合型证券投资基金,8091762,1.279,流通A股,000418
华安基金-工商银行-华融信托-华融·融汇50号权益投资集合资金信托计划,82191400,4.171,流通A股,000420
天治基金-工商银行-四川信托有限公司,80109500,4.065,流通A股,000420
全国社保基金六零四组合,3645087,0.637,流通A股,000421
领航投资澳洲有限公司-领航新兴市场股指基金(交易所),3040156,0.339,流通A股,000422
中国建设银行股份有限公司-银华富裕主题混合型证券投资基金,67225385,0.959,流通A股,000425
兴业银行股份有限公司-兴全趋势投资混合型证券投资基金,45968207,0.656,流通A股,000425
全国社保基金四一二组合,41827360,0.597,流通A股,000425
中国农业银行股份有限公司-富兰克林国海弹性市值混合型证券投资基金,25441097,1.362,流通A股,000426
中国银行股份有限公司-富兰克林国海中小盘股票型证券投资基金,15798844,0.846,流通A股,000426
中信银行股份有限公司-银河主题策略混合型证券投资基金,10195602,0.546,流通A股,000426
中国工商银行股份有限公司-中邮趋势精选灵活配置混合型证券投资基金,9741945,0.521,流通A股,000426
中国工商银行-银河银泰理财分红证券投资基金,8658189,0.463,流通A股,000426
领航投资澳洲有限公司-领航新兴市场股指基金(交易所),2175677,0.214,流通A股,000428
MATTHEWSCHINADIVIDENDFUND,9341406,0.447,流通B股,000429
PRUSIKUMBRELLAUCITSFUNDPLC,8028796,0.384,流通B股,000429
中国工商银行股份有限公司-南方优选价值股票型证券投资基金,8000028,0.383,流通A股,000429
招商银行股份有限公司-光大保德信优势配置混合型证券投资基金,14497314,0.749,流通A股,000488
全国社保基金四零三组合,10853596,0.561,流通A股,000488
BBHA/CVANGUARDEMERGINGMARKETSSTOCKINDEXFUND,8608238,0.445,流通B股,000488
中国工商银行股份有限公司-光大保德信中国制造2025灵活配置混合型证券投资基金,8280589,0.428,流通A股,000488
中国建设银行股份有限公司-安信价值精选股票型证券投资基金,9159210,0.818,流通A股,000498
中国银行股份有限公司-华泰柏瑞量化增强混合型证券投资基金,7674752,0.685,流通A股,000498
中国工商银行股份有限公司-华安逆向策略混合型证券投资基金,5334670,0.476,流通A股,000498
中国建设银行股份有限公司-鹏华价值优势混合型证券投资基金(LOF),4464785,0.399,流通A股,000498
中国工商银行股份有限公司-申万菱信量化小盘股票型证券投资基金(LOF),4106714,0.367,流通A股,000498
中国农业银行股份有限公司-安信消费医药主题股票型证券投资基金,4104909,0.366,流通A股,000498
建信基金-招商银行-建信乾元安享特定多个客户资产管理计划,4008735,0.358,流通A股,000498
中国建设银行股份有限公司-信诚盛世蓝筹混合型证券投资基金,3336652,0.298,流通A股,000498
中国光大银行股份有限公司-建信信息产业股票型证券投资基金,3229668,0.288,流通A股,000498
光大保德信基金-杭州银行-光大保德信-诗与远方海虹员工持股一期资产管理计划,5871627,0.653,流通A股,000503
上海和平大宗股权投资基金管理有限公司,41000000,13.159,流通A股,000504
重庆信三威投资咨询中心(有限合伙)-昌盛二号私募基金,31000052,9.950,流通A股,000504
上海方圆达创投资合伙企业(有限合伙)-方圆-东方6号私募投资基金,2927564,0.940,流通A股,000504
上海方圆达创投资合伙企业(有限合伙)-方圆-东方11号私募投资基金,2716600,0.872,流通A股,000504
前海开源基金-浦发银行-渤海国际信托-渤海信托·煦沁聚和1号集合资金信托计划,3961886,0.480,流通A股,000509
中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF),5460784,0.987,流通A股,000513
招商银行股份有限公司-汇添富医疗服务灵活配置混合型证券投资基金,5200020,0.940,流通A股,000513
全国社保基金一一三组合,3480010,0.629,流通A股,000513
泰达宏利基金-民生银行-泰达宏利价值成长定向增发170号资产管理计划,19010000,0.964,流通A股,000516
基本养老保险基金九零三组合,5379300,0.169,流通A股,000517
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金,12716814,0.906,流通A股,000519
中国工商银行股份有限公司-东方红新动力灵活配置混合型证券投资基金,6596794,0.632,流通A股,000521
招商银行股份有限公司-东方红京东大数据灵活配置混合型证券投资基金,5400945,0.517,流通A股,000521
领航投资澳洲有限公司-领航新兴市场股指基金(交易所),2685828,0.257,流通A股,000521
全国社保基金一零二组合,20794912,3.977,流通A股,000523
全国社保基金一零七组合,3763372,0.720,流通A股,000523
全国社保基金一零二组合,7928482,1.183,流通A股,000524
全国社保基金一一八组合,2504727,0.374,流通A股,000524
全国社保基金四一二组合,2057400,0.307,流通A股,000524
中国银行-嘉实主题精选混合型证券投资基金,12467958,2.147,流通A股,000525
淡水泉(北京)投资管理有限公司-淡水泉成长基金1期,3569501,0.615,流通A股,000525
中国银行股份有限公司-华安新丝路主题股票型证券投资基金,10200000,0.906,流通A股,000528
嘉实基金-农业银行-嘉实中证金融资产管理计划,7040700,0.626,流通A股,000528
广发基金-农业银行-广发中证金融资产管理计划,6996200,0.622,流通A股,000528
博时基金-农业银行-博时中证金融资产管理计划,6869900,0.611,流通A股,000528
易方达基金-农业银行-易方达中证金融资产管理计划,6692900,0.595,流通A股,000528
银华基金-农业银行-银华中证金融资产管理计划,6632200,0.589,流通A股,000528
中欧基金-农业银行-中欧中证金融资产管理计划,6183400,0.550,流通A股,000528
中国建设银行股份有限公司-摩根士丹利华鑫多因子精选策略混合型证券投资基金,3356353,0.575,流通A股,000529
浙商聚潮产业成长混合型证券投资基金,18109511,2.114,流通A股,000530
全国社保基金一零四组合,11199297,1.308,流通A股,000530
全国社保基金五零三组合,8210314,0.959,流通A股,000530
珠海金控股权投资基金管理有限公司,49943692,14.489,流通A股,000532
深圳华金瑞盈股权投资基金管理有限公司,45692689,13.255,流通A股,000532
全国社保基金一零八组合,10999797,2.237,流通A股,000534
广州道恩投资管理有限公司-道恩进取一号私募证券基金,4621700,0.940,流通A股,000534
九泰基金-浦发银行-九泰基金-恒胜新动力分级1号资产管理计划,4541294,0.923,流通A股,000534
深圳市润石资产管理有限公司-润石2号证券投资基金,4794773,0.173,流通A股,000536
深圳市润石资产管理有限公司-润石5号证券投资基金,4650880,0.168,流通A股,000536
深圳市润石资产管理有限公司-润石8号证券投资基金,4361313,0.158,流通A股,000536
中国银行股份有限公司-富国改革动力混合型证券投资基金,6731516,1.313,流通A股,000537
招商银行股份有限公司-富国天合稳健优选混合型证券投资基金,6044655,1.179,流通A股,000537
中国建设银行股份有限公司-富国城镇发展股票型证券投资基金,5700034,1.112,流通A股,000537
全国社保基金一零八组合,9763870,0.938,流通A股,000538
哈尔滨市道里区慈善基金会,27529778,0.524,流通A股,000539
全国社保基金一零三组合,21994982,0.419,流通A股,000539
BBHA/CVANGUARDEMERGINGMARKETSSTOCKINDEXFUND,16613688,0.316,流通B股,000539
全国社保基金零二零组合,7397211,0.157,流通A股,000540
中国工商银行-融通深证100指数证券投资基金,5200673,0.111,流通A股,000540
中国银行股份有限公司-招商丰庆灵活配置混合型发起式证券投资基金,25932721,1.448,流通A股,000543
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,4597656,0.257,流通A股,000543
申万菱信基金-工商银行-陕国投-陕国投·新毅创赢定向投资集合资金信托计划,16449623,2.532,流通A股,000544
安信基金-浦东银行-华宝信托-华宝-银河11号集合资金信托,10281014,1.582,流通A股,000544
中国银行股份有限公司-国泰融丰定增灵活配置混合型证券投资基金,4990507,0.768,流通A股,000544
全国社保基金一一一组合,2741604,0.422,流通A股,000544
中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金,29348839,2.053,流通A股,000547
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金,22679632,1.586,流通A股,000547
招商证券股份有限公司-前海开源中航军工指数分级证券投资基金,9931753,0.695,流通A股,000547
