shareholder,value,percent,share_type,share_code
shareholder,value,percent,share_type,share_code
招商银行股份有限公司-东方红京东大数据灵活配置混合型证券投资基金,10800024,1.119,流通A股,600267
中国建设银行股份有限公司-汇添富环保行业股票型证券投资基金,5000000,0.787,流通A股,600268
中国建设银行股份有限公司-景顺长城量化精选股票型证券投资基金,4170008,0.656,流通A股,600268
中国工商银行股份有限公司-富国文体健康股票型证券投资基金,4133198,0.651,流通A股,600268
全国社保基金一一八组合,10799370,1.193,流通A股,600270
全国社保基金一零八组合,5299919,0.585,流通A股,600270
交通银行股份有限公司-汇丰晋信龙腾混合型证券投资基金,5188143,0.573,流通A股,600270
全国社保基金一零三组合,17999940,0.966,流通A股,600271
全国社保基金四一四组合,15499532,0.832,流通A股,600271
奥本海默基金公司-中国基金,44928094,1.595,流通A股,600276
中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金,3747057,0.717,流通A股,600278
中国银行股份有限公司-华夏新经济灵活配置混合型发起式证券投资基金,4438200,0.386,流通A股,600280
广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金,2000000,0.389,流通A股,600281
全国社保基金四一一组合,17467920,0.396,流通A股,600282
中国银行-海富通收益增长证券投资基金,12087975,0.274,流通A股,600282
中国建设银行股份有限公司-华夏优势增长混合型证券投资基金,11934300,0.271,流通A股,600282
中国建设银行股份有限公司-融通互联网传媒灵活配置混合型证券投资基金,10965548,0.249,流通A股,600282
中国建设银行股份有限公司-华宝兴业行业精选混合型证券投资基金,10637158,0.241,流通A股,600282
中国农业银行-华夏平稳增长混合型证券投资基金,1632700,0.463,流通A股,600283
中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金,2819500,0.407,流通A股,600284
中国农业银行股份有限公司-交银施罗德精选混合型证券投资基金,10643687,1.797,流通A股,600285
中国建设银行股份有限公司-农银汇理医疗保健主题股票型证券投资基金,10170549,1.717,流通A股,600285
招商银行股份有限公司-汇添富医疗服务灵活配置混合型证券投资基金,7500011,1.266,流通A股,600285
招商银行股份有限公司-交银施罗德新成长混合型证券投资基金,7086423,1.196,流通A股,600285
长信基金-浦发银行-聚富3号资产管理计划,26263041,2.403,流通A股,600291
长信基金-浦发银行-聚富4号资产管理计划,10025435,0.917,流通A股,600291
中国银行股份有限公司-华夏新经济灵活配置混合型发起式证券投资基金,7211400,0.924,流通A股,600292
中国工商银行股份有限公司-嘉实新机遇灵活配置混合型发起式证券投资基金,3317210,0.425,流通A股,600292
杭州巨鲸财富管理有限公司-鲸品优选13号私募基金,4648985,0.400,流通A股,600293
SCBHKA/CBBHS/AVANGUARDEMERGINGMARKETSSTOCKINDEXFUND,6099550,0.591,流通B股,600295
VANGUARDTOTALINTERNATIONALSTOCKINDEXFUND,5255900,0.509,流通B股,600295
全国社保基金四零六组合,16142102,1.959,流通A股,600298
全国社保基金一零六组合,10634824,1.291,流通A股,600298
中国建设银行股份有限公司-银华富裕主题混合型证券投资基金,9059239,1.099,流通A股,600298
创金合信基金-浦发银行-创金合信新活力1号分级型资产管理计划,22754207,0.848,流通A股,600299
江苏聚合创意新兴产业投资基金(有限合伙),5635000,0.210,流通A股,600299
广西铁路发展投资基金(有限合伙),5185185,0.193,流通A股,600299
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,4992387,0.299,流通A股,600300
南京珀泽投资管理有限公司-中鼎泰邦稳赢1期私募投资基金,1950800,0.289,流通A股,600303
中国建设银行股份有限公司-银华富裕主题混合型证券投资基金,9261962,1.537,流通A股,600305
全国社保基金一一五组合,9076528,1.506,流通A股,600305
全国社保基金一一二组合,8000000,1.327,流通A股,600305
中国农业银行股份有限公司-汇添富逆向投资混合型证券投资基金,7581800,1.258,流通A股,600305
中国工商银行股份有限公司-中欧精选灵活配置定期开放混合型发起式证券投资基金,5599567,0.929,流通A股,600305
中国农业银行股份有限公司-富国中证国有企业改革指数分级证券投资基金,16587351,0.265,流通A股,600307
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,13420500,0.214,流通A股,600307
交通银行股份有限公司-汇丰晋信大盘股票型证券投资基金,31804353,2.724,流通A股,600308
招商银行股份有限公司-光大保德信优势配置混合型证券投资基金,28258115,2.420,流通A股,600308
交通银行股份有限公司-汇丰晋信双核策略混合型证券投资基金,24485818,2.097,流通A股,600308
中国工商银行股份有限公司-光大保德信中国制造2025灵活配置混合型证券投资基金,17627646,1.510,流通A股,600308
中国建设银行股份有限公司-新华信用增益债券型证券投资基金,15519869,1.329,流通A股,600308
全国社保基金四一二组合,13724500,1.175,流通A股,600308
交通银行股份有限公司-汇丰晋信龙腾混合型证券投资基金,12240221,1.048,流通A股,600308
中国民生银行股份有限公司-浙商聚潮新思维混合型证券投资基金,8027350,0.688,流通A股,600308
全国社保基金一零八组合,36598825,1.339,流通A股,600309
中国建设银行股份有限公司-兴全社会责任混合型证券投资基金,11997455,0.439,流通A股,600309
交通银行股份有限公司-华安策略优选混合型证券投资基金,11914069,0.436,流通A股,600309
全国社保基金四一三组合,8199742,0.300,流通A股,600309
中国银行-大成财富管理2020生命周期证券投资基金,28916051,3.493,流通A股,600310
中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF),4999905,0.604,流通A股,600310
中国农业银行股份有限公司-交银施罗德国企改革灵活配置混合型证券投资基金,4337900,0.524,流通A股,600310
北京神州牧投资基金管理有限公司-华安-神州牧2号基金,3126300,0.470,流通A股,600311
广东泽泉投资管理有限公司-泽泉涨乐8号基金,2620101,0.394,流通A股,600311
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,2923328,0.215,流通A股,600312
上海重阳战略投资有限公司-重阳战略聚智基金,18971234,2.817,流通A股,600315
上海重阳战略投资有限公司-重阳战略同智基金,10600066,1.574,流通A股,600315
上海太富祥尔股权投资基金合伙企业(有限合伙),10226588,1.519,流通A股,600315
中国工商银行股份有限公司-华商新锐产业灵活配置混合型证券投资基金,13876996,1.935,流通A股,600316
中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金,12621095,1.760,流通A股,600316
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金,10047304,1.401,流通A股,600316
中国建设银行股份有限公司-华商主题精选混合型证券投资基金,8694906,1.212,流通A股,600316
中国建设银行股份有限公司-华商未来主题混合型证券投资基金,7065858,0.985,流通A股,600316
