1985-05-29,1994-09-28,--,1994-06-06,其他发行方式,1.00,2028万,5.50,414万,1.12亿,1.07亿,13.00,12.45,38.00%,13.10,--,--,000043
1982-04-30,1994-08-15,7.6,1994-05-19,其他发行方式,1.00,1680万,3.90,--,6552万,6245万,7.00,6.28,67.17%,7.00,--,--,000045
1989-05-09,1994-09-12,--,1994-05-31,其他发行方式,1.00,1300万,6.30,390万,8190万,8026万,20.00,16.92,54.18%,20.00,--,--,000046
1979-01-01,1994-11-01,--,1994-06-23,其他发行方式,1.00,2180万,4.80,872万,1.05亿,9592万,9.80,8.86,54.29%,9.80,--,--,000048
1985-09-04,1995-03-20,--,1995-01-10,其他发行方式,1.00,1400万,4.95,494万,6930万,6436万,10.00,8.69,51.95%,10.10,--,--,000049
1983-11-08,1995-03-15,--,1995-01-16,其他发行方式,1.00,1100万,4.50,350万,4950万,4600万,9.50,10.05,77.01%,10.40,--,--,000050
1994-04-20,1996-04-15,--,1996-03-29,网上定价发行,1.00,2000万,5.18,--,1.04亿,--,7.50,8.46,81.17%,8.93,--,6.11%,000055
1985-01-19,1996-07-08,--,1996-06-21,网上定价发行,1.00,2000万,4.78,--,9560万,9110万,9.00,8.65,61.42%,9.68,--,1.16%,000056
1996-07-16,1996-12-26,--,1996-12-12,网上定价发行,1.00,2500万,6.80,--,1.70亿,1.62亿,15.80,16.71,54.33%,16.80,--,0.41%,000058
1997-01-23,1997-01-30,14.9,1997-01-03,网下定价发行,1.00,1.30亿,5.38,1820万,6.99亿,6.81亿,10.60,11.20,76.02%,11.85,--,2.09%,000059
1984-09-01,1997-01-23,14.44,1997-01-10,网下定价发行,1.00,2000万,8.00,900万,1.60亿,1.35亿,23.00,19.50,60.14%,23.48,--,0.55%,000060
1989-01-14,1997-01-10,14.88,1996-12-26,网下定价发行,1.00,1900万,8.38,760万,1.59亿,1.52亿,20.83,21.14,79.15%,22.50,--,1.85%,000061
1994-01-19,1997-01-30,14.8,1997-01-20,网下定价发行,1.00,1800万,11.40,846万,2.05亿,1.97亿,22.40,21.87,57.27%,23.50,--,1.06%,000062
1997-11-11,1997-11-18,14.8,1997-10-06,网下定价发行,1.00,6500万,6.81,1430万,4.43亿,4.28亿,21.81,20.86,67.89%,24.10,--,0.35%,000063
1986-04-05,1998-06-05,15,1998-04-16,网下定价发行,1.00,1250万,3.98,422万,4975万,4553万,16.98,18.34,71.46%,18.98,--,0.21%,000065
1997-06-19,1997-06-26,16,1997-06-10,其他发行方式,1.00,5700万,6.58,1080万,3.75亿,3.53亿,21.20,23.20,67.53%,25.80,--,10.84%,000066
1997-06-06,1997-06-11,13.9,1997-05-21,网下定价发行,1.00,1.50亿,5.45,2400万,8.18亿,7.94亿,10.38,12.98,73.07%,13.38,--,1.91%,000068
1997-09-02,1997-09-10,15,1997-08-04,网下定价发行,1.00,5000万,6.18,1000万,3.09亿,2.99亿,12.60,13.00,62.59%,13.43,--,0.32%,000069
1999-07-29,2000-05-11,29,2000-03-24,定向配售,1.00,7000万,7.90,1848万,5.53亿,5.35亿,22.90,28.70,49.95%,35.00,--,0.20%,000070
1992-12-13,1998-12-18,14.5,1998-08-07,网下定价发行,1.00,1910万,5.36,570万,1.02亿,9668万,20.36,23.79,62.91%,25.28,--,0.19%,000078
1997-07-21,1997-07-28,16.5,1997-07-07,网下定价发行,1.00,1.25亿,5.31,1605万,6.64亿,6.16亿,12.19,10.71,63.97%,12.48,--,0.55%,000088
1998-04-10,1998-04-20,14,1998-03-11,网下定价发行,1.00,1.00亿,6.38,1480万,6.38亿,6.22亿,10.12,10.05,51.47%,10.50,--,0.55%,000089
1993-12-06,1999-07-21,19.24,1999-07-01,网下定价发行,1.00,5800万,8.00,1391万,4.64亿,4.50亿,20.05,20.67,72.61%,21.58,--,1.07%,000090
1999-02-18,2000-07-24,30,2000-07-10,网下定价发行,1.00,8500万,6.00,1751万,5.10亿,4.92亿,11.98,11.59,52.31%,12.28,--,0.46%,000096
1999-02-11,2000-07-31,39.23,2000-07-03,网下定价发行,1.00,6000万,10.20,1800万,6.12亿,5.94亿,21.01,19.50,45.46%,21.78,--,0.81%,000099
2002-04-19,2004-01-30,15.97,2004-01-07,网下定价发行,1.00,9.94亿,4.26,9380万,42.4亿,24.2亿,6.88,7.59,50.59%,7.84,--,1.16%,000100
1993-02-19,2000-08-07,43.68,2000-07-21,定向配售,1.00,7000万,7.68,1760万,5.38亿,5.20亿,15.47,17.87,58.10%,18.11,--,0.20%,000150
1999-03-01,2000-09-06,24.31,2000-08-14,网下定价发行,1.00,7000万,7.78,1456万,5.45亿,5.30亿,20.00,17.93,53.75%,21.00,--,0.23%,000151
1997-08-30,2000-09-20,53.26,2000-09-07,网下定价发行,1.00,2500万,18.80,1675万,4.70亿,4.53亿,33.80,34.11,49.27%,40.25,--,0.57%,000153
1997-10-20,2000-09-26,26.87,2000-09-08,定向配售,1.00,1.30亿,6.18,--,8.03亿,7.78亿,8.77,8.20,37.56%,8.90,--,0.48%,000155
1994-06-30,2000-09-06,44.9,2000-08-18,定向配售,1.00,3600万,8.98,1152万,3.23亿,3.12亿,23.98,21.47,52.38%,25.00,--,0.05%,000156
1999-08-31,2000-10-12,34.43,2000-09-15,定向配售,1.00,5000万,12.74,2253万,6.37亿,6.14亿,25.55,24.13,47.05%,26.70,--,0.21%,000157
1998-12-29,2000-07-24,29.36,2000-07-06,网下定价发行,1.00,1.00亿,6.18,1945万,6.18亿,5.98亿,10.00,9.85,53.72%,10.20,--,0.96%,000158
1999-03-28,2000-09-26,38.87,2000-09-01,网下定价发行,1.00,7000万,5.88,1315万,4.12亿,3.98亿,17.20,19.38,75.82%,19.72,--,0.19%,000159
1996-09-16,2015-01-26,23.14,--,吸收合并,1.00,81.4亿,4.86,4458万,396亿,--,17.77,19.65,37.67%,21.10,--,--,000166
1998-07-16,2000-05-29,22.89,2000-04-24,其他发行方式,1.00,1.05亿,4.18,1314万,4.39亿,4.26亿,13.10,13.19,65.34%,14.58,--,1.36%,000301
2000-04-07,2013-09-18,--,--,吸收合并,1.00,6.86亿,44.56,7208万,306亿,305亿,40.50,42.24,5.67%,46.40,--,--,000333
2002-12-23,2007-04-30,0,2007-04-23,吸收合并,1.00,1.91亿,20.47,1.03亿,39.0亿,0,70.00,64.93,11.82%,71.00,0.00%,0.00%,000338
1996-12-26,1997-04-18,13.79,1997-04-02,其他发行方式,1.00,5000万,9.24,1500万,4.62亿,4.47亿,21.00,19.38,40.15%,21.80,--,3.29%,000400
1994-05-08,1996-06-14,13.45,1996-05-30,网下定价发行,1.00,6000万,5.38,1250万,3.23亿,3.10亿,6.28,6.95,78.62%,7.64,--,40.86%,000401
1996-06-18,1996-06-26,--,1996-06-06,网下定价发行,1.00,3000万,3.68,540万,1.10亿,1.06亿,5.99,6.35,87.62%,6.80,--,2.16%,000402
1995-05-22,1996-06-28,14.54,1996-06-07,网下定价发行,1.00,2400万,3.78,528万,9072万,8544万,5.98,5.55,77.72%,6.26,--,1.82%,000403
1996-06-13,1996-06-19,13.2,1996-05-27,其他发行方式,1.00,3500万,4.08,--,1.43亿,1.39亿,6.52,6.42,73.27%,7.15,--,2.37%,000404
1994-05-11,1996-07-03,14.63,1996-06-19,网下定价发行,1.00,1050万,6.00,427万,6300万,5873万,8.58,10.20,65.61%,10.20,--,1.12%,000407
1996-06-25,1996-06-28,13.64,1996-06-13,网下定价发行,1.00,1500万,4.80,252万,7200万,6948万,9.20,7.80,87.51%,9.67,--,1.28%,000408
1993-03-02,1996-06-27,14.56,1996-06-12,其他发行方式,1.00,2100万,5.68,496万,1.19亿,1.14亿,8.80,10.35,85.32%,11.48,--,2.74%,000409
1993-05-20,1996-07-18,13.87,1996-06-27,网下定价发行,1.00,5400万,4.16,1080万,2.25亿,2.14亿,5.28,6.00,83.09%,6.28,--,3.81%,000410
1995-12-14,1996-07-16,--,1996-06-26,网下定价发行,1.00,1056万,4.60,211万,4858万,4646万,7.50,7.25,55.61%,8.00,--,1.21%,000411
1992-12-26,1996-09-25,--,1996-09-11,网上定价发行,1.00,2620万,6.28,--,1.65亿,1.57亿,10.00,10.45,66.90%,11.50,--,1.24%,000413
1993-08-30,1996-07-16,--,1996-06-23,其他发行方式,1.00,1250万,6.00,438万,7500万,7350万,11.00,10.80,67.71%,11.85,--,9.40%,000415
1979-12-28,1996-07-19,16.21,1996-06-24,其他发行方式,1.00,1800万,5.35,378万,9630万,9252万,8.25,7.40,52.86%,8.36,--,2.38%,000416
1996-07-29,1996-08-12,11.84,1996-07-08,其他发行方式,1.00,1691万,5.80,370万,9806万,9436万,10.20,13.91,94.10%,14.78,--,2.13%,000417
1993-11-29,1997-03-28,--,1997-03-18,网上定价发行,1.00,6000万,12.24,--,7.34亿,7.21亿,27.24,28.56,61.47%,31.00,--,1.25%,000418
1996-08-10,1996-08-16,16.57,1996-07-19,网下定价发行,1.00,1500万,6.08,400万,9120万,8720万,13.20,12.65,89.74%,14.60,--,0.57%,000419
1988-11-09,1996-08-02,12.94,1996-07-23,网下定价发行,1.00,3098万,6.99,805万,2.17亿,2.08亿,11.88,9.80,46.94%,11.88,--,0.43%,000420
1992-07-10,1996-08-06,15.51,1996-07-25,网下定价发行,1.00,1374万,5.60,412万,7694万,7282万,9.50,9.95,68.09%,10.18,--,0.54%,000421
1993-09-06,1996-08-15,14.26,1996-07-25,网下定价发行,1.00,1635万,5.90,588万,9647万,9058万,12.80,13.60,86.93%,18.90,--,0.59%,000422
1994-06-04,1996-07-29,15.76,1996-07-05,其他发行方式,1.00,1750万,5.28,228万,9240万,0,10.00,11.20,26.39%,11.55,--,0.54%,000423
1993-12-15,1996-08-28,14.3,1996-08-13,其他发行方式,1.00,2400万,4.80,480万,1.15亿,1.10亿,9.18,8.46,29.61%,9.18,--,0.44%,000425
1996-08-23,1996-08-28,13.93,1996-08-01,网下定价发行,1.00,1370万,5.88,580万,8056万,7476万,10.32,11.27,67.55%,11.45,--,0.26%,000426
1996-08-03,1996-08-08,18.1,1996-07-19,网下定价发行,1.00,2000万,5.98,360万,1.20亿,1.16亿,9.47,10.78,77.54%,11.18,--,0.43%,000428
1997-01-02,1998-02-20,--,1998-01-09,其他发行方式,1.00,1.00亿,5.41,--,5.41亿,5.28亿,8.58,9.70,65.27%,10.59,--,0.81%,000429
1992-12-17,1996-08-29,18.13,1996-08-13,网下定价发行,1.00,1000万,6.80,450万,6800万,6350万,12.80,13.12,59.88%,13.45,--,0.17%,000430
1993-05-05,2000-11-20,--,2000-11-02,网上定价发行,1.00,7000万,20.80,--,14.6亿,14.2亿,24.22,22.25,30.57%,24.80,--,2.52%,000488
1994-01-10,1997-06-09,14,1997-05-21,其他发行方式,1.00,6000万,5.88,1200万,3.53亿,3.41亿,11.68,10.44,51.75%,12.00,--,5.20%,000498
1991-11-02,1992-11-20,--,1992-04-01,其他发行方式,1.00,6500万,3.50,--,2.28亿,0,10.50,10.10,4.31%,17.35,--,--,000501
1989-09-18,1992-11-23,--,1991-06-05,其他发行方式,1.00,1674万,1.00,--,1674万,0,10.70,11.90,0.21%,12.90,--,--,000502
1987-08-28,1992-11-30,--,1991-10-05,其他发行方式,1.00,3104万,1.00,--,3104万,0,10.50,12.70,6.98%,12.80,--,--,000503
1991-10-18,1992-12-08,--,1991-10-28,其他发行方式,1.00,3000万,1.00,--,3000万,0,16.50,19.00,0.26%,19.00,--,--,000504
1988-03-22,1992-12-21,--,1992-01-16,其他发行方式,1.00,2109万,1.00,--,2109万,0,17.20,19.00,0.17%,19.00,--,--,000505
1988-05-11,1993-03-12,--,1989-01-27,其他发行方式,100.00,4500万,1.00,--,4500万,0,13.60,17.60,10.08%,18.00,--,--,000506
1986-06-20,1993-03-26,--,1989-04-01,其他发行方式,1.00,8109万,1.00,--,8109万,0,17.50,22.90,4.27%,24.80,--,--,000507
1990-10-18,1993-05-07,--,1990-01-01,其他发行方式,1.00,2843万,1.00,--,2843万,0,17.45,20.15,1.14%,20.50,--,--,000509
1992-04-18,1993-05-07,--,1989-09-20,其他发行方式,1.00,2000万,3.20,--,6400万,0,17.90,17.20,2.13%,17.90,--,--,000510
1989-12-14,1993-05-18,--,1989-02-21,其他发行方式,100.00,16.0万,100.00,--,1600万,0,17.00,18.80,0.90%,19.80,--,--,000511
1985-01-26,1993-10-28,--,1993-09-16,其他发行方式,1.00,1300万,6.38,--,8294万,--,11.20,11.60,11.30%,11.60,--,--,000513
1992-09-08,1993-07-12,--,1992-06-01,其他发行方式,1.00,1800万,1.00,--,1800万,0,13.50,10.80,0.58%,13.50,--,--,000514
1996-12-31,1993-08-09,--,1987-01-19,其他发行方式,1.00,40.0万,2.10,--,84.0万,0,7.95,10.00,6.91%,10.10,--,--,000516
1989-05-19,1993-08-06,--,1989-02-01,其他发行方式,100.00,1640万,3.30,--,5412万,0,9.20,9.30,8.24%,9.45,--,--,000517
1992-05-18,1993-09-08,--,1993-04-26,其他发行方式,1.00,4000万,2.50,--,1.00亿,1.01亿,10.00,10.00,21.90%,10.00,--,--,000518
1998-03-10,1993-10-08,--,1989-10-31,其他发行方式,200.00,3.00万,200.00,--,600万,0,11.80,12.00,19.62%,12.50,--,--,000519
