平安银行股份有限公司
万科企业股份有限公司
深圳中国农大科技股份有限公司
深圳世纪星源股份有限公司
深圳市振业(集团)股份有限公司
深圳市全新好股份有限公司
神州高铁技术股份有限公司
中国宝安集团股份有限公司
深圳美丽生态股份有限公司
深圳市物业发展(集团)股份有限公司
中国南玻集团股份有限公司
沙河实业股份有限公司
康佳集团股份有限公司
深圳中华自行车(集团)股份有限公司
神州长城股份有限公司
深圳市深宝实业股份有限公司
深圳中恒华发股份有限公司
深圳长城开发科技股份有限公司
深圳赤湾港航股份有限公司
深圳市天地(集团)股份有限公司
深圳市特力(集团)股份有限公司
飞亚达(集团)股份有限公司
深圳能源集团股份有限公司
国药集团一致药业股份有限公司
深圳经济特区房地产(集团)股份有限公司
富奥汽车零部件股份有限公司
中粮地产(集团)股份有限公司
深圳市桑达实业股份有限公司
神州数码集团股份有限公司
中国天楹股份有限公司
华联控股股份有限公司
深圳南山热电股份有限公司
深圳大通实业股份有限公司
中国国际海运集装箱(集团)股份有限公司
东旭蓝天新能源股份有限公司
深圳市中洲投资控股股份有限公司
中航地产股份有限公司
深圳市纺织(集团)股份有限公司
泛海控股股份有限公司
深圳市康达尔(集团)股份有限公司
深圳市德赛电池科技股份有限公司
天马微电子股份有限公司
方大集团股份有限公司
深圳市皇庭国际企业股份有限公司
深圳赛格股份有限公司
北方华锦化学工业股份有限公司
深圳市中金岭南有色金属股份有限公司
深圳市农产品股份有限公司
深圳华强实业股份有限公司
中兴通讯股份有限公司
北方国际合作股份有限公司
中国长城科技集团股份有限公司
深圳华控赛格股份有限公司
深圳华侨城股份有限公司
深圳市特发信息股份有限公司
深圳市海王生物工程股份有限公司
深圳市盐田港股份有限公司
深圳市机场股份有限公司
深圳市天健(集团)股份有限公司
深圳市广聚能源股份有限公司
中信海洋直升机股份有限公司
TCL集团股份有限公司
宜华健康医疗股份有限公司
中成进出口股份有限公司
安徽丰原药业股份有限公司
川化股份有限公司
华数传媒控股股份有限公司
中联重科股份有限公司
石家庄常山北明科技股份有限公司
新疆国际实业股份有限公司
申万宏源集团股份有限公司
江苏吴江中国东方丝绸市场股份有限公司
美的集团股份有限公司
潍柴动力股份有限公司
许继电气股份有限公司
唐山冀东水泥股份有限公司
金融街控股股份有限公司
振兴生化股份有限公司
华意压缩机股份有限公司
山东胜利股份有限公司
藏格控股股份有限公司
山东地矿股份有限公司
沈阳机床股份有限公司
浙江英特集团股份有限公司
东旭光电科技股份有限公司
渤海金控投资股份有限公司
民生控股股份有限公司
合肥百货大楼集团股份有限公司
无锡小天鹅股份有限公司
长沙通程控股股份有限公司
吉林化纤股份有限公司
南京公用发展股份有限公司
湖北宜化化工股份有限公司
东阿阿胶股份有限公司
徐工集团工程机械股份有限公司
内蒙古兴业矿业股份有限公司
华天酒店集团股份有限公司
广东省高速公路发展股份有限公司
张家界旅游集团股份有限公司
山东晨鸣纸业集团股份有限公司
山东高速路桥集团股份有限公司
武汉武商集团股份有限公司
绿景控股股份有限公司
海虹企业(控股)股份有限公司
南华生物医药股份有限公司
海南珠江控股股份有限公司
中润资源投资股份有限公司
珠海港股份有限公司
华塑控股股份有限公司
四川金路集团股份有限公司
银基烯碳新材料集团股份有限公司
丽珠医药集团股份有限公司
重庆渝开发股份有限公司
西安国际医学投资股份有限公司
荣安地产股份有限公司
江苏四环生物股份有限公司
中兵红箭股份有限公司
长航凤凰股份有限公司
合肥美菱股份有限公司
广州市浪奇实业股份有限公司
广州岭南集团控股股份有限公司
南京红太阳股份有限公司
厦门紫光学大股份有限公司
广西柳工机械股份有限公司
广东广弘控股股份有限公司
大连冷冻机股份有限公司
广州恒运企业集团股份有限公司
珠海华金资本股份有限公司
广东万家乐股份有限公司
万泽实业股份有限公司
华映科技(集团)股份有限公司
天津广宇发展股份有限公司
云南白药集团股份有限公司
广东电力发展股份有限公司
中天金融集团股份有限公司
佛山电器照明股份有限公司
安徽省皖能股份有限公司
中原环保股份有限公司
金浦钛业股份有限公司
金圆水泥股份有限公司
航天工业发展股份有限公司
湖南投资集团股份有限公司
江铃汽车股份有限公司
创元科技股份有限公司
甘肃靖远煤电股份有限公司
湖北沙隆达股份有限公司
中国石化山东泰山石油股份有限公司
神州数码信息服务股份有限公司
宁夏西部创业实业股份有限公司
莱茵达体育发展股份有限公司
万向钱潮股份有限公司
昆明百货大楼(集团)股份有限公司
陕西烽火电子股份有限公司
陕西省国际信托股份有限公司
供销大集集团股份有限公司
重庆三峡油漆股份有限公司
海南海药股份有限公司
海南海德实业股份有限公司
泸州老窖股份有限公司
常柴股份有限公司
新大洲控股股份有限公司
海马汽车集团股份有限公司
东莞宏远工业区股份有限公司
江门甘蔗化工厂(集团)股份有限公司
无锡威孚高科技集团股份有限公司
北部湾港股份有限公司
江苏哈工智能机器人股份有限公司
东北电气发展股份有限公司
四川汇源光通信股份有限公司
金洲慈航集团股份有限公司
贵州轮胎股份有限公司
启迪古汉集团股份有限公司
中节能太阳能股份有限公司
中福海峡（平潭）发展股份有限公司
四川大通燃气开发股份有限公司
宝塔实业股份有限公司
安徽古井贡酒股份有限公司
东北制药集团股份有限公司
成都市兴蓉环境股份有限公司
青岛双星股份有限公司
河北建投能源投资股份有限公司
广东韶能集团股份有限公司
盛达矿业股份有限公司
渤海水业股份有限公司
神州易桥信息服务股份有限公司
浙江华媒控股股份有限公司
阳光新业地产股份有限公司
北京绵石投资集团股份有限公司
西安旅游股份有限公司
内蒙古天首科技发展股份有限公司
焦作万方铝业股份有限公司
海南大东海旅游中心股份有限公司
京汉实业投资股份有限公司
海航投资集团股份有限公司
中国石油集团资本股份有限公司
芜湖海螺型材科技股份有限公司
新华联文化旅游发展股份有限公司
恒立实业发展集团股份有限公司
吉林敖东药业集团股份有限公司
重庆长安汽车股份有限公司
远大产业控股股份有限公司
天茂实业集团股份有限公司
成都高新发展股份有限公司
攀钢集团钒钛资源股份有限公司
铜陵有色金属集团股份有限公司
顺发恒业股份公司
福建三木集团股份有限公司
新疆合金投资股份有限公司
宁夏英力特化工股份有限公司
广东风华高新科技股份有限公司
茂名石化实华股份有限公司
万方城镇投资发展股份有限公司
西王食品股份有限公司
仁和药业股份有限公司
珠海格力电器股份有限公司
天津泰达股份有限公司
山东金岭矿业股份有限公司
金科地产集团股份有限公司
中钨高新材料股份有限公司
珠海中富实业股份有限公司
长春高新技术产业(集团)股份有限公司
天夏智慧城市科技股份有限公司
福建省永安林业(集团)股份有限公司
湖北省广播电视信息网络股份有限公司
经纬纺织机械股份有限公司
美好置业集团股份有限公司
荣丰控股集团股份有限公司
金鸿控股集团股份有限公司
盈方微电子股份有限公司
阳光城集团股份有限公司
甘肃上峰水泥股份有限公司
当代东方投资股份有限公司
智度科技股份有限公司
恒天海龙股份有限公司
襄阳汽车轴承股份有限公司
大连友谊(集团)股份有限公司
山推工程机械股份有限公司
视觉(中国)文化发展股份有限公司
东方电子股份有限公司
内蒙古远兴能源股份有限公司
中山公用事业集团股份有限公司
东北证券股份有限公司
华讯方舟股份有限公司
建新矿业股份有限责任公司
广东宝丽华新能源股份有限公司
海南亚太实业发展股份有限公司
沈阳惠天热电股份有限公司
成都华泽钴镍材料股份有限公司
天津滨海能源发展股份有限公司
陕西炼石有色资源股份有限公司
沈阳化工股份有限公司
江南模塑科技股份有限公司
厦门信达股份有限公司
湖南正虹科技发展股份有限公司
恒逸石化股份有限公司
浙江震元股份有限公司
湖北双环科技股份有限公司
大冶特殊钢股份有限公司
河钢股份有限公司
成都市贝瑞和康基因技术股份有限公司
京蓝科技股份有限公司
广东锦龙发展股份有限公司
合肥丰乐种业股份有限公司
中兴-沈阳商业大厦(集团)股份有限公司
南方黑芝麻集团股份有限公司
广东韶钢松山股份有限公司
苏宁环球股份有限公司
中原大地传媒股份有限公司
山东新能泰山发电股份有限公司
西安饮食股份有限公司
湖南发展集团股份有限公司
山西美锦能源股份有限公司
京东方科技集团股份有限公司
鲁泰纺织股份有限公司
南京华东电子信息科技股份有限公司
国元证券股份有限公司
北京燕京啤酒股份有限公司
四川美丰化工股份有限公司
泰禾集团股份有限公司
中国振华(集团)科技股份有限公司
罗牛山股份有限公司
中交地产股份有限公司
南风化工集团股份有限公司
中国航发动力控制股份有限公司
普洛药业股份有限公司
国海证券股份有限公司
葫芦岛锌业股份有限公司
西藏银河科技发展股份有限公司
福建漳州发展股份有限公司
山西三维集团股份有限公司
山东新华制药股份有限公司
四川浩物机电股份有限公司
中国有色金属建设股份有限公司
中百控股集团股份有限公司
斯太尔动力股份有限公司
本钢板材股份有限公司
西藏矿业发展股份有限公司
通化金马药业集团股份有限公司
山西漳泽电力股份有限公司
中航飞机股份有限公司
广发证券股份有限公司
中核苏阀科技实业股份有限公司
新兴铸管股份有限公司
兰州三毛实业股份有限公司
内蒙古平庄能源股份有限公司
广东新会美达锦纶股份有限公司
长江证券股份有限公司
武汉中商集团股份有限公司
北新集团建材股份有限公司
北大医药股份有限公司
江西万年青水泥股份有限公司
成都泰合健康科技集团股份有限公司
甘肃电投能源发展股份有限公司
青海盐湖工业股份有限公司
华闻传媒投资集团股份有限公司
英洛华科技股份有限公司
海航凯撒旅游集团股份有限公司
